#{"env_id": null, "t_start": 1610067104.5447547}
r,l,t
-32.118817,96,21.506996
-83.99496,96,43.239997
-1071.690594,96,62.506997
-191.108949,96,81.316495
-8.5404,96,99.292496
-202.658479,96,119.514014
-42.87762,96,139.532002
-76.375407,96,157.133496
-4.154856,96,176.815668
-361.035642,96,194.676163
-742.538362,96,213.143345
-198.052915,96,234.961838
-1.767879,96,255.305838
-320.871263,96,275.718838
-2.111393,96,295.461835
-1.966303,96,315.264337
-325.222469,96,336.232336
-287.539541,96,357.069339
-92.321403,96,379.291164
-4.23262,96,399.814164
-1616.845322,96,420.291163
-54.924644,96,439.812663
-1239.860832,96,459.483663
-106.913063,96,479.889167
-361.291228,96,499.152163
-45.202326,96,516.984661
-1.456177,96,535.819603
-412.199034,96,554.499104
-1259.868891,96,572.662102
-2.295472,96,590.770105
-161.153375,96,608.553605
-156.693471,96,627.352102
-32.055791,96,647.099104
-107.797111,96,666.057604
-57.323532,96,683.999671
-120.944865,96,702.51968
-53.780263,96,722.519674
-93.794713,96,741.377674
-263.368861,96,758.673173
-1256.476077,96,777.367178
-480.229737,96,795.217178
-240.038594,96,813.401215
-792.448856,96,836.006196
-1120.279328,96,854.763698
-1187.271359,96,873.799715
-349.362015,96,893.140202
-2.644432,96,913.895703
-298.673037,96,931.748196
-148.002447,96,948.834199
-34.879256,96,966.451201
-455.529775,96,984.695199
-185.198523,96,1003.201702
-27.526807,96,1020.621207
-1224.678672,96,1040.115197
-107.401288,96,1058.267203
-226.525843,96,1076.256697
-33.031008,96,1095.122698
-153.432313,96,1114.600199
-680.62712,96,1134.723704
-554.275432,96,1154.048699
-521.260252,96,1173.130199
-1022.483938,96,1192.627202
-45.591484,96,1212.628698
-394.559274,96,1232.288698
-702.230689,96,1252.427698
-118.418581,96,1272.868702
-25.324495,96,1291.254198
-568.420512,96,1310.297881
-432.907285,96,1329.896881
-287.777215,96,1348.327898
-190.300453,96,1378.331378
-8.835675,96,1403.272376
-79.254864,96,1427.390877
-249.116499,96,1450.490877
-795.341002,96,1472.940874
-13.679028,96,1493.603379
-225.9889,96,1514.291382
-148.770992,96,1535.244387
-17.982325,96,1556.126879
-966.646142,96,1576.338392
-130.063841,96,1598.695379
-191.407576,96,1620.464879
-31.404475,96,1642.309879
-277.484802,96,1663.238378
-553.137473,96,1685.343878
-64.425287,96,1707.079385
-31.528893,96,1727.304875
-92.48023,96,1748.239879
-45.336292,96,1768.517877
-625.248279,96,1788.690378
-26.428708,96,1810.510884
-30.87073,96,1832.629879
-29.311707,96,1854.150381
-1521.320649,96,1874.685876
-12.42778,96,1895.173376
-16.978538,96,1915.288377
-8.941963,96,1942.383379
-90.011956,96,1971.18538
-30.677433,96,1994.060875
-77.093514,96,2017.728378
-365.834037,96,2040.003387
-61.132559,96,2062.813382
-172.548674,96,2086.408877
-88.822349,96,2112.616377
-203.285342,96,2136.265879
-278.044843,96,2164.029876
-489.799854,96,2186.290379
-0.927475,96,2206.984375
-45.524143,96,2229.376375
-47.759824,96,2253.847877
-1.980675,96,2275.418875
-71.776794,96,2296.525877
-785.930366,96,2317.857379
-92.783634,96,2338.609876
-430.17623,96,2358.238875
-847.194782,96,2380.118879
-737.184522,96,2400.901376
-414.726276,96,2422.357375
-141.932837,96,2441.891379
-268.267088,96,2462.638878
-0.791649,96,2482.828878
-0.606053,96,2502.550378
-542.959315,96,2525.012701
-871.912795,96,2548.240703
-538.872505,96,2568.071201
-1176.44201,96,2587.481707
-173.96783,96,2605.976544
-23.39276,96,2624.944042
-299.617132,96,2643.048545
-271.852601,96,2660.355549
-400.953319,96,2677.494055
-4.085909,96,2694.499044
-1416.2686,96,2712.539546
-64.799265,96,2729.426546
-88.864831,96,2746.561041
-152.724138,96,2763.91304
-32.683936,96,2781.305042
-181.547861,96,2799.184051
-170.073324,96,2817.587044
-0.958579,96,2836.065543
-777.613296,96,2854.395545
-498.055563,96,2873.382041
-548.179779,96,2891.750548
-385.69412,96,2910.685041
-26.32312,96,2929.806546
-45.610997,96,2950.106043
-92.844684,96,2969.167057
-703.124235,96,2986.283044
-24.250085,96,3005.983545
