#{"t_start": 1610016860.6065161, "env_id": null}
r,l,t
-4.419576,96,18.230812
-5.737457,96,35.353692
-138.680628,96,51.191958
-27.392994,96,66.585223
-3.51664,96,83.436947
-21.10101,96,99.92106
-8.292519,96,116.944928
-10.372596,96,133.720248
-4.36781,96,150.019753
-39.654465,96,166.467028
-89.601906,96,183.195127
-24.915645,96,199.25396
-1.960419,96,215.575161
-33.32326,96,231.901354
-2.135019,96,248.807883
-1.974167,96,266.358099
-35.130801,96,285.004188
-28.682056,96,303.77763
-21.30678,96,322.387559
-2.738572,96,343.506304
-142.273983,96,363.712067
-8.835587,96,383.591619
-89.801101,96,405.76401
-7.654555,96,426.301556
-37.597079,96,444.50292
-7.507128,96,461.610275
-5.005142,96,480.419584
-41.284176,96,497.380493
-80.785749,96,514.686145
-2.32156,96,531.763981
-14.388824,96,548.897113
-17.035326,96,567.022125
-7.487347,96,584.234512
-9.84117,96,602.201863
-4.8464,96,619.001623
-12.628211,96,637.79405
-4.671398,96,654.75158
-4.112463,96,671.114679
-30.730075,96,686.827914
-102.50589,96,704.140558
-47.366695,96,720.761049
-25.850979,96,737.809818
-70.006979,96,754.978883
-112.220243,96,771.620129
-125.197704,96,787.90344
-30.391043,96,804.346561
-2.741263,96,820.190753
-30.069133,96,837.355393
-13.15073,96,853.281787
-4.364848,96,869.179206
-42.447572,96,885.288685
-17.402951,96,901.133542
-3.91641,96,916.827478
-78.412432,96,934.374287
-8.814615,96,950.802026
-21.085936,96,966.783294
-4.97726,96,984.105002
-38.047183,96,1000.007848
-83.818656,96,1015.977516
-55.601637,96,1033.735776
-58.655713,96,1049.924462
-55.660969,96,1067.583135
-1.607264,96,1083.885176
-13.746355,96,1100.446454
-80.828891,96,1117.864265
-8.62777,96,1136.414759
-2.813707,96,1153.920388
-54.679641,96,1171.753239
-45.909663,96,1190.402565
-20.20895,96,1206.872264
-9.072212,96,1224.69993
-4.28384,96,1241.928442
-8.114326,96,1258.91074
-20.409757,96,1275.175223
-70.507035,96,1293.308502
-13.334013,96,1308.853561
-32.157124,96,1324.464355
-26.540245,96,1339.819347
-2.701669,96,1355.277706
-52.625783,96,1370.112791
-27.664564,96,1385.461844
-0.806661,96,1400.929056
-9.516468,96,1416.32506
-34.191202,96,1431.899398
-71.536917,96,1447.137264
-21.760054,96,1461.844567
-10.494536,96,1476.778621
-21.586793,96,1491.517279
-0.534684,96,1506.693477
-83.797676,96,1521.214688
-17.777282,96,1536.223533
-1.254974,96,1551.569427
-1.657134,96,1567.562828
-76.266041,96,1583.37005
-0.307225,96,1598.502189
-3.679598,96,1613.102181
-36.820199,96,1628.785355
-15.107869,96,1643.755648
-1.328291,96,1658.945025
-8.553071,96,1673.6871
-2.325947,96,1688.973751
-10.27533,96,1704.004457
-4.965644,96,1718.633133
-15.533308,96,1733.645769
-15.31586,96,1748.307273
-21.832343,96,1763.039295
-55.218007,96,1777.729385
-0.919398,96,1792.574855
-1.092347,96,1807.171551
-3.490388,96,1822.860779
-3.131856,96,1837.490758
-10.002079,96,1853.177955
-73.52454,96,1867.656527
-1.513979,96,1882.809286
-25.587309,96,1897.389348
-84.215694,96,1913.242327
-90.501371,96,1928.747188
-49.649021,96,1944.715392
-14.693336,96,1960.581246
-42.461652,96,1976.409016
-0.784604,96,1992.233781
-0.612203,96,2007.597188
-62.00187,96,2023.036812
-74.532759,96,2039.464349
-49.233304,96,2059.446306
-105.654123,96,2076.891283
-34.875179,96,2096.655549
-3.936392,96,2113.607233
-33.327598,96,2129.189569
-23.81987,96,2144.612131
-44.844137,96,2159.980184
-3.271231,96,2175.302257
-136.178162,96,2192.379713
-2.112427,96,2208.496562
-22.149481,96,2224.554309
-29.839393,96,2240.266796
-0.595896,96,2255.893931
-19.996916,96,2271.484948
-30.980387,96,2287.695894
-5.920188,96,2304.218006
-57.838985,96,2320.592034
-60.595134,96,2335.83996
-67.550169,96,2352.37089
-17.476942,96,2367.336824
-1.484493,96,2383.451036
-20.008209,96,2398.704809
-16.51225,96,2414.458475
-87.252479,96,2430.650839
-1.517606,96,2446.092246
-25.683037,96,2461.769603
-65.080807,96,2477.528521
-27.951032,96,2494.894612
-4.329417,96,2514.243615
-14.050234,96,2533.044221
