#{"env_id": null, "t_start": 1610449265.589074}
r,l,t
-2.582491,96,89.035015
-1.647352,96,162.944032
-18.185096,96,229.203047
-12.441974,96,267.858051
-2.663014,96,298.796056
-12.045288,96,333.632071
-7.530887,96,368.277073
-1.931635,96,399.443082
-2.99288,96,454.173098
-2.483199,96,485.615099
-16.949697,96,517.504265
-7.757744,96,550.064274
-9.976601,96,581.975296
-3.937599,96,612.772293
-5.238969,96,640.947404
-5.095011,96,667.099512
-3.75096,96,695.087057
-7.624372,96,726.023061
-10.668682,96,762.844867
-6.028604,96,803.643424
-10.761986,96,835.678756
-3.922963,96,867.795207
-7.24123,96,902.291883
-7.505332,96,930.095896
-7.683758,96,962.444208
-2.453984,96,1004.460005
-7.628297,96,1040.904405
-10.601683,96,1071.029979
-12.151752,96,1101.218303
-2.222073,96,1130.112104
-7.743256,96,1158.373299
-4.536239,96,1187.456701
-5.382734,96,1214.36615
-2.397346,96,1243.546216
-4.679478,96,1272.038896
-6.997304,96,1300.817609
-5.066092,96,1329.69966
-2.075155,96,1360.952796
-4.058725,96,1389.795443
-0.342533,96,1422.838283
-3.093384,96,1457.928113
-1.772629,96,1488.566725
-0.48756,96,1514.305027
-0.470743,96,1542.171104
-1.072689,96,1569.524287
-13.014475,96,1597.881083
-7.067235,96,1626.188157
-10.391304,96,1654.886835
-0.300899,96,1682.608826
-2.51474,96,1712.788633
-1.392673,96,1740.336109
-12.022181,96,1769.488423
-5.597733,96,1798.544327
-0.334743,96,1826.460425
-2.567229,96,1854.72995
-0.27589,96,1883.175355
-6.111478,96,1911.155038
-10.484622,96,1937.819651
-14.15496,96,1970.53554
-11.54765,96,1995.963493
-12.870879,96,2021.414248
-1.787558,96,2048.052868
-1.645235,96,2079.374411
1.383781,96,2110.589664
-1.244118,96,2150.414629
-8.538405,96,2176.263426
-0.556608,96,2202.549091
-11.934533,96,2228.526879
-8.543226,96,2255.159428
-0.385964,96,2282.058416
-0.291793,96,2308.345377
-3.423229,96,2335.216885
-1.119228,96,2361.453443
-0.342612,96,2389.117823
-0.974169,96,2414.679966
-2.590345,96,2441.243082
-6.690625,96,2467.049598
-4.292573,96,2492.57863
-4.223995,96,2518.447802
-4.422117,96,2544.83227
-8.148997,96,2572.758352
-0.768699,96,2601.262961
-0.936407,96,2631.206691
-4.566749,96,2658.743554
-8.823932,96,2685.487352
-4.092272,96,2713.589947
-3.670513,96,2741.667134
-2.950843,96,2776.80612
-8.285487,96,2808.860399
-9.629537,96,2833.549628
-1.428008,96,2862.840933
-6.123347,96,2893.647965
-1.702097,96,2923.621917
-31.047828,96,2952.766699
-11.231841,96,2980.714216
-16.627909,96,3009.349262
-1.87943,96,3039.018234
-3.137716,96,3066.257373
-14.216021,96,3095.855319
-13.562017,96,3124.271769
-2.35851,96,3152.945903
-2.119211,96,3180.839067
-1.382609,96,3209.030462
-16.394605,96,3243.709968
-29.860073,96,3271.011863
-5.36737,96,3295.16613
-6.877977,96,3316.332568
-0.910313,96,3332.928563
-4.963132,96,3353.068906
-0.267333,96,3370.018765
-25.074509,96,3400.908619
-3.092758,96,3452.162632
-3.646093,96,3499.939647
-30.134619,96,3537.234666
-22.762945,96,3574.324656
-9.782854,96,3612.270674
-9.58711,96,3653.19567
-6.365078,96,3696.472683
-16.992224,96,3726.382682
-4.495857,96,3749.934691
-1.550003,96,3774.747704
-12.74612,96,3797.795703
-8.234749,96,3819.142714
-10.295302,96,3842.17274
-8.682722,96,3865.503715
-15.445045,96,3888.921725
-3.661599,96,3911.320726
-0.310291,96,3932.756871
-4.228816,96,3954.682166
-1.603575,96,3972.255607
-1.775097,96,3990.760189
-0.793429,96,4009.724297
-17.684224,96,4028.667604
-0.312144,96,4046.973709
-2.613093,96,4066.640219
-3.893,96,4085.159236
-0.324899,96,4105.500981
-3.349275,96,4124.048878
-4.376645,96,4143.147163
-0.170681,96,4160.942762
-4.755758,96,4177.726741
-8.639086,96,4195.973822
-10.460037,96,4213.12727
-1.562114,96,4230.632763
-0.660163,96,4248.265576
-0.253078,96,4265.456728
-2.68528,96,4283.171613
-11.96018,96,4300.556051
-0.552984,96,4318.607814
-3.813459,96,4337.627932
-8.218225,96,4355.723336
-3.73837,96,4373.409475
-0.5997,96,4390.136076
-2.194686,96,4407.764686
-5.670281,96,4424.601592
-9.391777,96,4443.476789
-1.811951,96,4461.249804
-0.847762,96,4477.65586
-2.73912,96,4495.95875
-0.81237,96,4513.65297
-10.63751,96,4532.171607
-2.438837,96,4550.592527
-8.042958,96,4567.973171
-2.813396,96,4585.605661
-3.587412,96,4601.713516
-2.824891,96,4619.656242
-11.699089,96,4637.313643
-6.762125,96,4654.407067
-1.788317,96,4672.01143
-3.321702,96,4688.923584
-0.043557,96,4706.380193
-1.102289,96,4722.956816
-9.920987,96,4741.384128
-7.583175,96,4761.839991
-6.39267,96,4780.595575
-4.465244,96,4800.547275
-2.94619,96,4818.524639
-6.024301,96,4835.003696
-11.795512,96,4853.637674
-1.273028,96,4870.916584
-3.13638,96,4888.667811
-5.388795,96,4906.614372
-2.885471,96,4924.013655
-0.821655,96,4942.596998
-1.249093,96,4963.518469
-1.271522,96,4981.742458
-3.071595,96,5000.374798
-0.487506,96,5017.014554
-5.263098,96,5034.941202
-0.617307,96,5051.965981
-3.029218,96,5069.730976
-5.847981,96,5091.36773
-9.935032,96,5108.232253
-0.746746,96,5125.885393
-3.030662,96,5142.185201
-0.032639,96,5159.748096
-2.739049,96,5178.209567
-0.046562,96,5195.064575
-6.853065,96,5212.66123
-3.503441,96,5229.770412
-2.418425,96,5247.858891
-0.819617,96,5266.539834
-4.107115,96,5283.899126
-2.281226,96,5302.506431
-0.959944,96,5319.218639
-9.435534,96,5336.875624
-1.78538,96,5354.079059
-0.528703,96,5374.713344
-11.027719,96,5393.155774
0.0,96,5412.232292
-2.678166,96,5432.248318
-2.423775,96,5452.471359
-2.839715,96,5470.882004
-4.025098,96,5488.689152
-9.736023,96,5505.615285
-9.683891,96,5522.879804
-0.859025,96,5540.77737
-0.300022,96,5558.268318
-14.364797,96,5575.986976
-9.857882,96,5592.807049
-3.840957,96,5610.900745
-1.789226,96,5628.603435
-2.235798,96,5645.459954
-9.441507,96,5664.44929
-4.556937,96,5681.024554
-4.884472,96,5699.070098
-7.407981,96,5717.340268
-2.676398,96,5734.07269
-2.999801,96,5751.834656
-5.338626,96,5768.670791
-3.520638,96,5786.941174
-8.061018,96,5804.118818
-1.585341,96,5821.871822
-2.115368,96,5839.823666
-9.491643,96,5859.089089
-3.288613,96,5876.788368
-6.669229,96,5893.412371
-0.334931,96,5911.60512
-1.492307,96,5929.021197
-1.123989,96,5945.375097
-0.60765,96,5962.896538
-1.399327,96,5979.32781
-10.685509,96,5996.975144
-5.455375,96,6013.71846
-5.485947,96,6032.320127
-3.226595,96,6051.072713
-1.942003,96,6069.137475
-7.311969,96,6090.758832
-4.444293,96,6111.590985
-4.073034,96,6129.997669
-6.027431,96,6148.327408
-0.822064,96,6167.45221
-4.388556,96,6184.179849
-6.327468,96,6202.382373
-1.447982,96,6219.50487
-1.245605,96,6237.456962
-0.070271,96,6254.277407
-2.311606,96,6272.291031
-9.08419,96,6290.160653
-3.89521,96,6307.576468
-4.583277,96,6325.955621
-6.875567,96,6342.499812
-4.379115,96,6360.983755
-9.251872,96,6379.794897
-7.696279,96,6396.615168
-3.169453,96,6414.89672
-10.712448,96,6432.575478
-12.12678,96,6450.721792
-2.845864,96,6468.521178
-2.400609,96,6485.813627
-2.420585,96,6503.805511
-12.986489,96,6521.155825
-1.297324,96,6538.70227
-1.524278,96,6554.949722
-2.74974,96,6572.541643
-3.155453,96,6590.509031
-3.684851,96,6607.417608
-0.881509,96,6625.380704
-2.033802,96,6641.730496
-5.898825,96,6659.392598
-2.428883,96,6677.184165
-6.613015,96,6695.150344
-5.288579,96,6712.95796
-1.153187,96,6730.670424
-8.512405,96,6752.215858
-1.767836,96,6774.063598
-0.541663,96,6791.323125
-7.337453,96,6809.325065
-1.688793,96,6826.627208
-1.722787,96,6843.630297
-11.853369,96,6862.03484
-1.03849,96,6879.176856
