#{"env_id": null, "t_start": 1610183489.2777164}
r,l,t
-3.28764,96,25.292275
-2.962414,96,46.838903
-12.781418,96,67.276964
-3.800526,96,86.373691
-3.095002,96,105.317487
-3.179449,96,123.665093
-3.065232,96,143.14349
-3.815958,96,161.457684
-4.158775,96,180.119219
-6.339402,96,198.261283
-10.285973,96,216.496508
-4.43801,96,235.05145
-1.767044,96,253.061434
-4.818769,96,271.262535
-2.107844,96,288.895019
-1.964375,96,307.430828
-4.45996,96,328.301263
-5.982787,96,347.668538
-2.17131,96,370.230856
-2.455654,96,389.176343
-18.922977,96,407.648861
-3.404912,96,427.103963
-14.845971,96,447.067712
-4.352803,96,470.500065
-5.895168,96,493.245182
-2.501328,96,513.891169
-1.402898,96,533.36921
-7.930881,96,554.002597
-15.010908,96,573.065344
-2.295692,96,593.403399
-2.910764,96,620.721118
-2.789416,96,650.943307
-3.543263,96,684.149642
-3.866261,96,715.975447
-3.157983,96,742.189346
-3.936714,96,764.010587
-2.822096,96,784.330353
-2.551973,96,803.999478
-3.211844,96,823.329928
-13.900806,96,842.305577
-6.415786,96,861.870005
-4.138477,96,880.616687
-8.780967,96,900.580636
-13.123992,96,921.041265
-12.666351,96,941.024512
-5.157747,96,961.352049
-2.595931,96,981.284202
-4.672493,96,999.683674
-2.658475,96,1017.825805
-1.913438,96,1037.390529
-4.482143,96,1062.634625
-4.687968,96,1093.262915
-1.360963,96,1127.681366
-10.976982,96,1165.302224
-1.778088,96,1197.627079
-1.647235,96,1219.914975
-2.749643,96,1238.916802
-4.548766,96,1257.337667
-11.028911,96,1276.915692
-8.730416,96,1296.52966
-8.667269,96,1315.44363
-7.671546,96,1334.431223
-1.040217,96,1354.293029
1.582195,96,1373.166214
-5.684371,96,1391.589178
-5.440927,96,1411.096733
-0.616132,96,1428.587382
-9.03302,96,1447.562593
-6.535646,96,1467.249013
-0.534251,96,1484.457462
-0.932762,96,1503.714845
-2.503124,96,1521.436198
-1.390082,96,1539.460377
-1.475093,96,1558.04132
-4.169901,96,1576.188652
-2.074467,96,1594.298922
-5.589134,96,1611.748886
-4.187666,96,1630.346074
-2.627631,96,1649.070771
-5.938747,96,1666.260582
-6.922065,96,1685.267388
-0.540317,96,1703.359244
-0.596991,96,1721.171332
-4.603849,96,1737.939025
-8.722091,96,1754.705235
-4.193222,96,1770.833734
-3.464612,96,1790.140719
-3.066067,96,1809.910225
-0.335525,96,1827.390915
-9.155901,96,1844.767913
-2.892138,96,1861.788344
-0.78993,96,1879.40736
-1.980937,96,1895.586499
-9.323617,96,1912.377357
-1.10825,96,1929.971794
-0.220326,96,1945.862142
-0.952281,96,1962.674226
-2.819925,96,1979.460096
-0.347732,96,2000.344252
-1.925001,96,2017.947596
-2.008924,96,2034.949042
-0.625545,96,2052.759289
-1.239902,96,2070.11705
-0.444112,96,2088.331818
-1.459146,96,2105.804627
-3.333702,96,2123.279156
-5.456061,96,2141.449642
-0.6729,96,2158.191425
-0.146827,96,2176.499832
