#{"t_start": 1610037366.7914, "env_id": null}
r,l,t
-4.466954,96,17.940769
-5.715315,96,37.84444
-138.784541,96,56.169383
-27.400886,96,73.338993
-3.517659,96,93.150324
-21.086423,96,112.231936
-8.298045,96,130.057448
-10.338343,96,148.334688
-4.198102,96,165.440788
-39.370939,96,182.877136
-90.00283,96,201.11117
-25.221759,96,220.506235
-1.969954,96,241.899608
-32.540876,96,261.123349
-2.127638,96,280.517926
-1.965336,96,298.863666
-35.622417,96,316.624578
-29.39096,96,336.102261
-21.376754,96,352.830959
-2.516032,96,370.981733
-139.78965,96,389.132773
-9.009866,96,406.979411
-87.686079,96,429.959309
-11.444322,96,457.032317
-35.552761,96,474.639686
-7.521463,96,490.581027
-6.403258,96,507.015401
-42.506349,96,523.577918
-76.2078,96,544.983303
-2.243266,96,565.074166
-15.786758,96,583.430104
-17.912363,96,602.187536
-9.09058,96,619.807995
-14.621943,96,635.407966
-7.823566,96,653.493443
-9.86441,96,671.220459
-5.491631,96,690.774733
-2.555404,96,709.07599
-23.063831,96,727.807926
-91.374687,96,746.92213
-37.250539,96,763.874135
-26.389694,96,781.062439
-58.389681,96,797.574186
-102.607927,96,813.958693
-109.96,96,832.899694
-33.252805,96,851.109318
-6.251865,96,868.015172
-41.6808,96,887.358955
-9.529998,96,906.080793
-4.452158,96,926.288307
-23.131207,96,943.880046
-35.938841,96,961.873132
-3.116391,96,980.104982
-0.048129,96,996.875163
-5.716629,96,1013.677074
-19.497599,96,1029.593299
-8.456562,96,1047.327142
-47.297921,96,1065.779498
-90.69474,96,1083.695053
-59.150064,96,1101.474003
-62.593947,96,1121.811837
-56.96905,96,1143.419758
-1.538625,96,1160.058722
-13.236557,96,1177.203522
-78.569722,96,1194.278428
-14.921345,96,1210.633542
-3.112574,96,1229.923341
-57.762355,96,1246.474012
-48.725445,96,1264.679272
-20.120646,96,1282.525432
-4.978839,96,1300.370958
-4.564435,96,1323.401528
-8.439342,96,1343.925301
-22.097161,96,1361.412904
-73.474182,96,1377.73021
-13.647803,96,1393.891883
-34.615237,96,1409.590498
-30.93763,96,1424.982475
-3.558207,96,1440.810572
-46.700179,96,1456.13927
-29.112223,96,1471.797032
-0.76616,96,1488.035692
-8.996615,96,1504.474611
-35.202071,96,1520.331946
-77.204518,96,1536.164841
-28.109386,96,1555.306545
-11.742083,96,1572.722604
-21.687071,96,1589.850749
-0.594184,96,1605.773879
-85.775274,96,1621.378385
-19.96447,96,1636.786136
-1.802369,96,1654.517648
-1.616376,96,1670.339821
-77.759638,96,1687.687027
-1.481547,96,1703.085641
-3.053011,96,1718.547775
-38.425699,96,1734.328928
-16.65291,96,1750.480658
-1.016279,96,1765.797011
-9.842906,96,1781.860725
-1.422815,96,1798.960921
-10.736347,96,1815.272676
-5.41359,96,1830.745423
-15.34176,96,1846.264479
-17.068008,96,1861.983022
-22.009835,96,1877.21015
-55.745593,96,1892.854903
-1.03632,96,1908.059391
-1.662938,96,1923.897321
-4.315367,96,1941.292213
-3.869419,96,1957.385211
-9.876678,96,1972.999772
-70.290425,96,1988.731404
-1.100687,96,2004.794169
-29.575301,96,2020.445913
-84.723247,96,2036.097835
-91.983536,96,2051.789659
-47.992341,96,2067.321326
-25.498637,96,2083.31777
-42.767156,96,2098.572382
-0.748172,96,2114.325733
-0.597086,96,2130.946969
-67.046174,96,2146.677457
-80.356368,96,2162.676847
-53.281048,96,2181.351268
-119.837354,96,2198.073825
-37.584959,96,2221.87589
-3.730416,96,2240.204138
-31.961451,96,2259.201141
-24.25013,96,2275.702385
-46.278831,96,2291.588723
-1.917094,96,2307.410877
-147.519775,96,2322.838786
-2.091097,96,2338.308523
-22.835364,96,2354.238683
-30.492184,96,2369.717201
-0.596065,96,2384.754541
-20.391478,96,2400.227522
-31.655717,96,2415.779799
-6.227376,96,2431.555339
-66.191388,96,2446.538632
-64.314314,96,2462.8152
-85.142405,96,2478.206251
-10.320816,96,2494.127666
-2.030084,96,2509.765167
-19.658237,96,2525.803208
-16.201411,96,2541.160586
-89.314014,96,2557.292925
-1.623422,96,2572.821892
-23.336214,96,2588.782648
-66.022202,96,2604.379617
-27.862655,96,2620.104207
-5.593133,96,2635.547937
-11.806952,96,2651.095987
-43.725318,96,2666.530469
-49.456145,96,2681.993265
-7.535541,96,2698.024386
-19.553336,96,2714.181592
-17.804078,96,2730.788985
-18.511167,96,2746.099044
-46.83687,96,2762.632281
-14.88679,96,2778.914571
-53.00336,96,2795.231876
-35.393708,96,2811.075778
-55.712883,96,2826.732247
-11.175113,96,2842.253649
-78.898562,96,2860.41811
-46.514913,96,2878.214473
-1.95742,96,2896.347847
-24.903086,96,2914.079555
-0.566043,96,2930.640694
-7.095448,96,2946.454442
