#{"env_id": null, "t_start": 1610038979.171331}
r,l,t
-17.311795,96,30.504502
-38.257084,96,56.886063
-1369.256697,96,80.913501
-256.906659,96,105.835497
-7.693203,96,126.992068
-200.167545,96,144.320999
-58.491602,96,161.514504
-76.545938,96,179.73854
-4.36909,96,210.529638
-372.887684,96,259.097
-869.659337,96,308.870999
-226.208582,96,334.037094
-3.657866,96,365.997999
-319.580632,96,399.334501
-2.136218,96,423.750007
-1.99097,96,456.781499
-340.695042,96,482.462499
-259.315672,96,507.114501
-201.543811,96,529.632042
-4.860341,96,554.505499
-1395.264852,96,580.578151
-62.842,96,604.576002
-872.443863,96,629.290499
-44.900404,96,655.008999
-356.422223,96,678.784998
-56.75877,96,701.588498
-36.654803,96,725.296002
-379.188846,96,746.740999
-785.872715,96,767.801497
-2.349153,96,786.200886
-132.649985,96,803.311391
-159.82031,96,820.698419
-44.374556,96,839.326389
-71.350682,96,857.450385
-24.656794,96,875.628384
-106.389102,96,893.205388
-25.139606,96,911.004886
-27.031863,96,928.21239
-304.783564,96,945.372892
-1023.360266,96,963.307388
-474.703144,96,980.876433
-255.023275,96,999.582891
-727.544645,96,1017.435387
-1153.637242,96,1035.089888
-1282.445652,96,1052.469244
-274.297535,96,1069.962757
-2.814616,96,1087.189755
-270.538114,96,1104.664754
-129.708929,96,1121.702307
-25.897034,96,1139.332757
-467.811084,96,1156.753363
-126.70007,96,1175.185756
-35.650717,96,1192.580844
-893.617024,96,1210.715916
-141.932297,96,1228.21292
-234.795788,96,1245.128955
-25.27766,96,1262.36242
-231.03971,96,1279.769917
-742.355669,96,1298.378423
-490.649519,96,1318.086417
-544.372088,96,1337.262417
-603.125451,96,1358.223916
-31.059983,96,1379.012918
-168.905085,96,1398.818416
-770.755702,96,1419.585419
-70.222232,96,1440.77842
-15.645847,96,1461.278418
-542.765902,96,1484.217425
-438.55133,96,1511.615991
-196.826612,96,1529.533972
-88.945273,96,1548.598405
-30.074472,96,1572.941046
-79.165124,96,1591.185058
-214.512424,96,1609.195583
-781.53485,96,1627.745639
-66.929574,96,1646.363085
-218.05798,96,1664.703582
-187.334679,96,1682.16657
-33.618419,96,1699.702233
-743.685272,96,1718.214429
-105.283903,96,1736.361068
-50.948551,96,1756.215076
-8.992518,96,1781.07409
-269.518914,96,1799.759572
-542.504313,96,1819.496068
-1.104256,96,1840.973068
-3.833407,96,1861.758569
-104.983998,96,1881.448067
-68.40833,96,1900.765068
-690.667575,96,1919.032567
-26.245953,96,1938.29857
-1.206698,96,1956.862069
-35.019528,96,1974.957069
-946.738737,96,1993.557569
-0.435037,96,2010.98257
-72.150669,96,2029.258068
-344.835594,96,2048.22457
-132.493564,96,2066.81707
-11.211099,96,2085.387068
-63.319886,96,2103.493569
-36.763783,96,2123.595069
-91.763053,96,2144.021068
-32.601379,96,2161.759571
-205.969636,96,2179.62307
-196.363529,96,2196.863075
-163.317061,96,2219.050567
-501.575882,96,2235.21657
-1.197207,96,2251.689068
-11.840332,96,2267.58857
-41.509496,96,2283.791569
-61.230149,96,2299.974575
-97.55115,96,2316.112069
-722.680957,96,2331.735568
-7.831607,96,2347.681085
-256.564253,96,2364.349568
-838.500536,96,2380.264068
-941.567621,96,2396.309567
-546.815533,96,2412.117071
-101.672579,96,2428.07307
-475.684159,96,2443.832072
-3.822086,96,2459.939567
-1.529045,96,2476.335068
-674.416377,96,2494.194569
-827.79495,96,2511.85457
-591.093639,96,2528.285075
-1236.504961,96,2544.849071
-422.699537,96,2562.205569
-32.381388,96,2582.895568
-443.763977,96,2601.001566
-182.51693,96,2618.010069
-403.664666,96,2637.084071
-18.290104,96,2655.066074
-1486.695028,96,2672.392072
-2.708958,96,2688.890572
-253.52467,96,2706.351569
-350.497491,96,2722.04707
-5.944089,96,2737.23207
-207.050943,96,2752.921567
-312.888963,96,2768.806072
-54.27755,96,2784.75357
-570.296531,96,2800.988573
-630.144815,96,2816.909071
-696.016808,96,2832.633075
-122.505284,96,2848.369071
-6.753834,96,2864.156569
-235.593063,96,2879.842067
-167.267585,96,2895.615568
-910.936002,96,2911.445068
-10.99947,96,2929.009571
-257.030194,96,2946.414569
-647.381197,96,2962.62757
-271.84533,96,2978.664574
-38.593815,96,2994.569569
-99.806849,96,3010.351568
-480.62677,96,3025.912569
-641.488341,96,3041.09707
-126.184357,96,3056.832569
-123.303411,96,3072.722584
-203.817214,96,3088.815069
-133.916478,96,3104.315073
-595.132677,96,3121.140569
-201.350423,96,3137.011236
-582.051839,96,3153.330734
-355.910632,96,3169.416739
-513.668639,96,3185.521241
-131.027779,96,3203.062236
-839.769647,96,3219.665237
-498.765368,96,3235.918736
-57.95784,96,3251.506746
-214.762765,96,3267.488737
-1.819846,96,3283.610238
-40.614795,96,3299.818241
-880.190248,96,3314.83475
-664.732543,96,3331.088237
-607.212961,96,3347.154738
-580.894912,96,3363.869735
-321.002782,96,3381.014737
-393.600198,96,3397.793738
-1085.5299,96,3416.194246
-249.650385,96,3433.168738
-303.800194,96,3450.379738
-479.076937,96,3468.403735
-256.174356,96,3484.849235
-54.480653,96,3503.830739
-86.986492,96,3520.973738
-181.206789,96,3539.22024
-268.587041,96,3556.353235
-86.57188,96,3571.498737
-539.463103,96,3587.163249
-53.336412,96,3602.350735
-288.967974,96,3617.565736
-521.389065,96,3632.743235
-828.623925,96,3648.102737
-31.549354,96,3663.539242
-147.181483,96,3678.720237
-0.401257,96,3694.274736
-233.211694,96,3709.550737
-0.968586,96,3724.550737
-504.054796,96,3739.498242
-239.459985,96,3754.702243
-211.370886,96,3769.764737
-28.937591,96,3785.198236
-303.092216,96,3800.176737
-154.055924,96,3815.80274
-70.501207,96,3831.66574
-722.580477,96,3847.237735
-174.780382,96,3863.388241
-20.011334,96,3878.652737
-946.125195,96,3893.837739
-0.866582,96,3909.53224
-77.427991,96,3924.814235
-1.054834,96,3940.440738
-125.34948,96,3956.760234
-383.968056,96,3974.815738
-305.902937,96,3991.454235
-453.600962,96,4008.523737
-163.032914,96,4024.89574
-0.041323,96,4040.233739
-1027.4781,96,4057.005981
-403.90209,96,4073.389977
-287.414774,96,4089.510479
-155.834351,96,4105.845479
-156.701946,96,4121.360978
-296.62208,96,4137.699481
-2.528608,96,4153.875979
-217.475234,96,4170.690477
-527.508161,96,4188.402977
-121.238333,96,4205.443976
-172.455284,96,4226.491479
-400.697272,96,4247.543977
-535.67839,96,4264.966477
-419.85043,96,4283.640981
-161.995919,96,4301.786477
-107.999381,96,4321.872978
-734.220602,96,4341.690978
-152.088842,96,4358.657479
-348.760383,96,4376.938976
-98.775804,96,4395.830979
-1.886598,96,4412.646982
-0.3092,96,4432.373479
-132.719337,96,4450.22198
-26.696168,96,4466.108475
-820.740392,96,4482.498477
-251.135038,96,4500.54898
-206.985133,96,4517.976978
-82.223248,96,4537.52248
-73.090317,96,4554.860481
-403.175941,96,4572.109479
-322.820923,96,4587.85548
-205.379984,96,4603.763479
-393.863554,96,4620.91948
-408.258885,96,4636.735485
-138.742639,96,4652.552478
-436.907977,96,4669.055329
-274.621434,96,4684.906331
-125.544913,96,4700.361827
-2.992684,96,4716.205327
-3.738792,96,4732.531828
