#{"t_start": 1610185829.8891287, "env_id": null}
r,l,t
-3.274113,96,21.171806
-2.900405,96,40.224142
-12.834397,96,59.216257
-3.748109,96,82.577878
-2.951525,96,101.425718
-3.315373,96,118.991425
-3.206832,96,139.343231
-3.554901,96,157.778428
-4.068252,96,178.326541
-4.638845,96,196.44803
-11.066338,96,216.950678
-5.401325,96,240.564745
-1.976477,96,260.828569
-1.806287,96,281.15932
-1.819904,96,301.337854
-1.669979,96,320.917961
-5.633497,96,340.228577
-7.984354,96,360.810215
-4.71638,96,382.278673
-2.600781,96,401.298455
-12.790836,96,420.016922
-3.972701,96,437.872711
-6.780107,96,455.300529
-6.209148,96,473.32103
-8.201623,96,491.308003
-4.292254,96,508.081794
-6.22506,96,525.243804
-10.028782,96,542.505737
-3.080976,96,559.433426
-2.939168,96,576.113094
-6.366954,96,594.88305
-4.120324,96,614.956648
-4.699715,96,633.55399
-2.397346,96,651.805312
-4.893438,96,669.668389
-6.493705,96,689.033931
-4.729123,96,705.659828
-1.721578,96,723.149496
-3.671215,96,739.431686
-0.934149,96,756.618681
-2.907288,96,773.492768
-2.311432,96,790.346121
-0.547531,96,806.603822
-0.718855,96,823.25312
-1.072689,96,839.960647
-13.014475,96,858.615893
-7.067235,96,876.947908
-10.391304,96,899.984765
-0.300899,96,924.092569
-2.353266,96,941.198249
-1.480095,96,960.338516
-12.022181,96,984.929279
-3.394725,96,1003.693727
-4.96508,96,1023.284735
-2.404048,96,1042.980768
-0.317617,96,1068.226376
-6.111478,96,1090.33103
-10.484622,96,1112.460223
-14.15496,96,1137.267301
-11.54765,96,1156.029026
-12.870879,96,1174.041037
-2.131933,96,1196.185771
-1.621483,96,1216.179415
2.062442,96,1234.629431
-1.76009,96,1254.305806
-8.037602,96,1271.486141
-0.936847,96,1289.680382
-11.584246,96,1307.859289
-7.76799,96,1325.889214
-0.385964,96,1343.388602
-15.396302,96,1361.268575
-4.542341,96,1380.256877
-15.726811,96,1399.143337
-20.715618,96,1417.623457
-18.867298,96,1435.470535
-5.438175,96,1452.052918
-3.477254,96,1469.561464
-5.894764,96,1487.877712
-9.160703,96,1507.035535
-12.902303,96,1524.691519
-6.672932,96,1541.774382
-0.740967,96,1559.249229
-0.419798,96,1576.109458
-4.613879,96,1593.705727
-8.8097,96,1611.225916
-4.357787,96,1628.37611
-3.750791,96,1644.651256
-2.983057,96,1662.450357
-0.300042,96,1679.123444
-7.365687,96,1696.248583
-2.444913,96,1713.920571
-1.390675,96,1732.644215
-1.615249,96,1749.802371
-12.865868,96,1766.824432
-1.728784,96,1784.390669
-0.219721,96,1804.491247
-0.713039,96,1823.436511
-2.5027,96,1840.791246
-0.03429,96,1857.606699
-2.069779,96,1875.473735
-1.208893,96,1893.642586
-0.385446,96,1911.805082
-1.189407,96,1929.559497
-0.865977,96,1947.935537
-1.349292,96,1966.108997
-3.30336,96,1984.444378
-5.563196,96,2008.030414
-0.819865,96,2027.523273
-0.146827,96,2045.425568
-0.197467,96,2063.180274
-1.133965,96,2079.880192
