steps,loss/loss
677,4408.34814453125
688,4855.005859375
695,5497.75732421875
728,4677.60400390625
738,5756.17333984375
744,5122.40673828125
753,5034.09423828125
779,3801.227783203125
814,4698.3974609375
817,4235.42041015625
823,4708.005859375
843,4720.53955078125
847,4642.62060546875
860,4198.37744140625
899,5137.6728515625
924,4024.533203125
929,4499.38037109375
977,5182.11181640625
996,5004.5322265625
1048,6852.9853515625
1050,5976.21240234375
1157,9871.5009765625
1194,10939.921875
1198,12519.5986328125
1202,12577.548828125
1236,12880.314453125
1262,14396.7294921875
1278,15824.5712890625
1287,16030.6162109375
1324,19500.23828125
1325,19829.302734375
1338,20372.380859375
1381,21007.392578125
1424,18538.205078125
1429,20440.353515625
1431,20473.1640625
1437,18310.306640625
1457,17301.6328125
1489,13486.1396484375
1501,13382.6396484375
1515,12241.6708984375
1519,11303.9111328125
1521,11465.54296875
1526,10900.7783203125
1549,9022.650390625
1556,7769.30712890625
1586,9101.6767578125
1593,9505.03125
1598,8239.1103515625
1655,6433.75390625
1712,4984.40869140625
1729,3993.77294921875
1734,5100.47607421875
1764,3653.4345703125
1801,3238.809814453125
1850,1961.9560546875
1894,1939.8980712890625
1909,1791.3408203125
1975,1780.3472900390625
1999,1299.103515625
2010,1086.3221435546875
2025,1457.2987060546875
2063,1192.062255859375
2072,791.310546875
2082,895.5862426757812
2109,802.0154418945312
2155,501.6125793457031
2192,493.78179931640625
2231,360.476806640625
2249,346.7515563964844
2251,329.05462646484375
2300,244.17385864257812
2306,233.51837158203125
2340,158.087158203125
2362,148.5972137451172
2369,103.00093078613281
2376,125.84654998779297
2442,77.205322265625
2450,70.09584045410156
2460,78.53398132324219
2536,44.889739990234375
2539,43.92633056640625
2573,43.66885757446289
2589,43.92676544189453
2595,57.3730583190918
2598,40.880950927734375
2701,40.3527717590332
2719,28.60274314880371
2736,37.41707229614258
2789,32.806827545166016
2795,29.224910736083984
2825,30.45648765563965
2841,34.9908447265625
2909,29.582820892333984
2915,39.163414001464844
2919,29.1485538482666
2947,30.921463012695312
3016,38.32836151123047
3060,28.80252456665039
3062,27.451683044433594
3073,26.2314395904541
3097,25.994089126586914
3147,31.96455955505371
3174,38.2942008972168
3186,31.714332580566406
3201,25.644676208496094
3219,25.49285316467285
3257,28.943843841552734
3260,31.809499740600586
3273,28.189807891845703
3275,28.626272201538086
3300,30.39620018005371
3367,30.01724624633789
3375,30.824878692626953
3422,32.38294219970703
3435,33.4056510925293
3472,28.018526077270508
3473,29.982887268066406
3484,27.6475887298584
3532,26.873422622680664
3534,27.336870193481445
3677,29.081424713134766
3680,26.188493728637695
3708,21.860551834106445
3729,23.6918888092041
3774,27.569290161132812
3799,33.262569427490234
3807,30.702064514160156
3816,28.66349220275879
3832,30.22605323791504
3838,24.748546600341797
3859,30.785860061645508
3874,26.20546531677246
3980,29.215892791748047
4000,27.16206932067871
4006,32.40654754638672
4014,24.233335494995117
4042,33.979454040527344
4053,28.55574607849121
4070,26.066783905029297
4077,24.058162689208984
4089,25.726974487304688
4107,22.273941040039062
4135,25.629117965698242
4141,34.960140228271484
4162,29.469539642333984
4186,23.29376983642578
4203,24.39615249633789
4211,28.361677169799805
4212,27.001296997070312
4215,31.562477111816406
4234,23.536376953125
4275,25.174287796020508
4311,27.205509185791016
4317,22.50284767150879
4335,23.262290954589844
4349,26.36509132385254
4372,28.813283920288086
4375,31.138010025024414
4383,23.58395004272461
4387,27.21285057067871
4391,32.25716781616211
4394,22.862289428710938
4411,28.85453224182129
4418,23.994375228881836
4461,31.601802825927734
4484,25.04269027709961
4524,30.636276245117188
4595,21.854747772216797
4602,23.938621520996094
4617,36.897682189941406
4652,23.311677932739258
4669,28.166067123413086
4721,25.65036964416504
4730,30.346054077148438
4732,22.016868591308594
4751,23.96769142150879
4785,32.581817626953125
4809,35.793861389160156
4825,38.45616912841797
4845,26.14737892150879
4859,25.38450050354004
4877,35.20158386230469
4913,40.24821090698242
4924,34.59416198730469
4929,36.45640182495117
4938,38.6047477722168
5039,42.399105072021484
5049,44.34711456298828
5064,40.59666442871094
5076,32.78227233886719
5135,27.895856857299805
5162,29.690467834472656
5188,34.80885314941406
5199,36.84626770019531
5201,47.30781555175781
5203,47.1454963684082
5221,28.036527633666992
5254,27.121627807617188
5283,26.004961013793945
5289,27.64458656311035
5309,29.119369506835938
5322,29.957862854003906
5375,24.58054542541504
5402,39.368797302246094
5412,32.57563018798828
5416,24.70981788635254
5422,26.013870239257812
5441,34.78268051147461
5450,38.345455169677734
5455,39.78769302368164
5504,51.896549224853516
5523,30.316078186035156
5526,37.46053695678711
5566,41.60500717163086
5576,22.462154388427734
5588,24.403940200805664
5612,38.08426284790039
5674,44.36925506591797
5717,28.674793243408203
5721,32.75151824951172
5742,38.819122314453125
5756,36.25481033325195
5778,48.814910888671875
5807,38.02512741088867
5813,54.7479133605957
5831,42.93696594238281
5847,34.079280853271484
5870,29.94131088256836
5882,31.580251693725586
5942,45.12306594848633
5945,46.81066131591797
5984,37.78472137451172
5991,39.87548065185547
6047,36.04151153564453
6063,35.033077239990234
6110,40.295379638671875
6112,44.46575164794922
6166,35.630401611328125
6196,30.84125328063965
6221,38.64961624145508
6235,38.43125534057617
6237,36.63321304321289
6283,51.828670501708984
6303,40.979434967041016
6304,38.715599060058594
6313,44.44245147705078
6318,32.64913558959961
6333,44.95458984375
6352,37.099849700927734
6377,37.66653823852539
6412,39.839874267578125
6426,41.90040969848633
6464,59.721214294433594
6485,36.116451263427734
6489,50.61554718017578
6492,31.431596755981445
6505,32.68210983276367
