steps,loss/td_error
677,-4408.84814453125
688,-4855.505859375
695,-5498.25732421875
728,-4678.10400390625
738,-5756.67333984375
744,-5122.90673828125
753,-5034.59423828125
779,-3801.727783203125
814,-4698.8974609375
817,-4235.92041015625
823,-4708.505859375
843,-4721.03955078125
847,-4643.12060546875
860,-4198.87744140625
899,-5138.1728515625
924,-4025.033203125
929,-4499.88037109375
977,-5182.61181640625
996,-5005.0322265625
1048,-6853.4853515625
1050,-5976.71240234375
1157,-9872.0009765625
1194,-10940.421875
1198,-12520.0986328125
1202,-12578.048828125
1236,-12880.814453125
1262,-14397.2294921875
1278,-15825.0712890625
1287,-16031.1162109375
1324,-19500.234375
1325,-19827.001953125
1338,-20368.37890625
1381,-20937.8125
1424,-18426.630859375
1429,-20307.896484375
1431,-20359.869140625
1437,-18158.71875
1457,-17123.84375
1489,-13253.494140625
1501,-13177.2080078125
1515,-12028.119140625
1519,-11095.474609375
1521,-11281.8232421875
1526,-10708.40625
1549,-8861.7001953125
1556,-7695.296875
1586,-8912.7626953125
1593,-9289.1513671875
1598,-8088.224609375
1655,-6253.88818359375
1712,-4847.4228515625
1729,-3865.731689453125
1734,-4980.7431640625
1764,-3514.522216796875
1801,-3037.309814453125
1850,-1801.3973388671875
1894,-1783.364013671875
1909,-1604.8441162109375
1975,-1655.9869384765625
1999,-1134.490478515625
2010,-937.5065307617188
2025,-1233.1328125
2063,-1081.2056884765625
2072,-635.5354614257812
2082,-793.5758056640625
2109,-680.8721313476562
2155,-415.2541809082031
2192,-403.113525390625
2231,-223.09744262695312
2249,-198.4506378173828
2251,-192.1036834716797
2300,-118.95028686523438
2306,-162.36732482910156
2340,-55.13724136352539
2362,-27.391075134277344
2369,-53.550594329833984
2376,-24.819955825805664
2442,-27.781227111816406
2450,-39.780616760253906
2460,-20.32477569580078
2536,-6.194227695465088
2539,-2.4544708728790283
2573,-3.232747793197632
2589,-14.702712059020996
2595,14.761322021484375
2598,7.907732963562012
2701,5.199936866760254
2719,-3.6283907890319824
2736,-0.6006309986114502
2789,0.7776874303817749
2795,6.473382949829102
2825,-5.990981578826904
2841,-11.519773483276367
2909,-2.9201769828796387
2915,6.920530796051025
2919,-3.495866298675537
2947,0.8480328321456909
3016,-6.451626777648926
3060,5.725556373596191
3062,-7.879828453063965
3073,-4.036711692810059
3097,-4.501155853271484
3147,3.275869131088257
3174,5.499078750610352
3186,-1.1417694091796875
3201,0.743292510509491
3219,1.1653869152069092
3257,1.0284595489501953
3260,-0.2624729573726654
3273,0.03127425163984299
3275,-2.93742036819458
3300,-2.7066214084625244
3367,1.8412545919418335
3375,2.6201529502868652
3422,1.0082224607467651
3435,4.4131340980529785
3472,-3.132164716720581
3473,-1.1925679445266724
3484,-0.6341983079910278
3532,2.9853341579437256
3534,4.712637901306152
3677,7.737844467163086
3680,4.871162414550781
3708,0.49004295468330383
3729,-0.8038579821586609
3774,-5.718629360198975
3799,-3.139770030975342
3807,-0.19774210453033447
3816,2.7112910747528076
3832,8.169279098510742
3838,5.954695701599121
3859,5.540080547332764
3874,4.968001842498779
3980,-1.3874850273132324
4000,2.799851417541504
4006,7.551613807678223
4014,2.581300735473633
4042,5.051174640655518
4053,6.081723690032959
4070,1.5638351440429688
4077,3.2555484771728516
4089,-4.583431243896484
4107,3.161963701248169
4135,2.3847134113311768
4141,9.452408790588379
4162,-0.5212104320526123
4186,2.896883726119995
4203,-7.766353130340576
4211,-11.151954650878906
4212,-4.962667942047119
4215,6.123270511627197
4234,-0.21329553425312042
4275,4.648692607879639
4311,-7.257046699523926
4317,0.9848801493644714
4335,3.263251781463623
4349,-2.2760918140411377
4372,-4.303402900695801
4375,5.164036273956299
4383,0.8645163178443909
4387,2.5093836784362793
4391,4.946228981018066
4394,2.082230567932129
4411,13.54167366027832
4418,7.057394981384277
4461,-12.686232566833496
4484,5.020328521728516
4524,12.288729667663574
4595,-1.2509011030197144
4602,4.764547348022461
4617,3.438642978668213
4652,-4.788421630859375
4669,-3.224302053451538
4721,-2.309993028640747
4730,-2.1817641258239746
4732,-0.07744916528463364
4751,0.30742427706718445
4785,-2.101771831512451
4809,3.0520741939544678
4825,5.848494529724121
4845,-8.086066246032715
4859,5.935244560241699
4877,2.723874568939209
4913,-15.581395149230957
4924,-5.2261786460876465
4929,-0.5672345757484436
4938,-6.416123390197754
5039,-10.256258010864258
5049,-14.500349044799805
5064,-6.491436004638672
5076,-5.011114120483398
5135,0.3795827031135559
5162,-3.072965383529663
5188,-4.215175628662109
5199,-4.0285515785217285
5201,9.452545166015625
5203,5.269981384277344
5221,-3.9398796558380127
5254,2.3492558002471924
5283,-2.7214126586914062
5289,-6.963181495666504
5309,0.5664513111114502
5322,-4.313827037811279
5375,-3.0999348163604736
5402,14.20814323425293
5412,0.819521427154541
5416,-2.312800407409668
5422,1.3046969175338745
5441,-12.450203895568848
5450,-7.004270076751709
5455,-15.807439804077148
5504,-10.005453109741211
5523,9.63399887084961
5526,18.591598510742188
5566,18.130056381225586
5576,1.086626648902893
5588,0.2770460247993469
5612,-5.528004169464111
5674,0.2711583077907562
5717,-3.691377878189087
5721,-7.599753379821777
5742,-0.13911446928977966
5756,-6.169045448303223
5778,-14.323711395263672
5807,-12.071770668029785
5813,-4.587015151977539
5831,2.7684109210968018
5847,-2.0899832248687744
5870,-4.077349662780762
5882,6.234393119812012
5942,-7.038821220397949
5945,-16.570688247680664
5984,-6.012838363647461
5991,-6.690440654754639
6047,2.632560968399048
6063,-2.222527265548706
6110,-3.2565648555755615
6112,-9.568279266357422
6166,12.156057357788086
6196,-2.1157877445220947
6221,9.543224334716797
6235,1.056581735610962
6237,-3.661292314529419
6283,3.3320119380950928
6303,-9.055964469909668
6304,-2.3851678371429443
6313,0.9935960173606873
6318,-0.8816394805908203
6333,17.83634376525879
6352,-2.505344867706299
6377,-4.742613792419434
6412,-10.656804084777832
6426,-5.738219261169434
6464,3.140529155731201
6485,4.373708724975586
6489,18.220579147338867
6492,10.379729270935059
6505,16.738351821899414
6542,-0.03326640650629997
6552,-9.052643775939941
6564,-6.850813865661621
6605,-3.886056900024414
6607,-6.6438422203063965
6609,-4.496584892272949
6621,-13.302202224731445
6636,-13.405848503112793
6652,-7.964963436126709
6675,7.851001739501953
6725,-6.348137378692627
6754,-10.93889331817627
6770,-8.144563674926758
6776,-3.4317626953125
6793,-4.631279468536377
6808,-16.515514373779297
6810,-12.105263710021973
6813,-19.292741775512695
6823,-18.336530685424805
6885,-4.616072177886963
6887,-3.594855546951294
6922,4.9881110191345215
6930,6.115864276885986
6942,-0.6106919050216675
6973,-3.8930912017822266
6980,-8.183917999267578
7027,1.8557627201080322
7048,5.908128261566162
7080,0.131224125623703
7081,2.0640921592712402
7127,-16.071542739868164
7140,-8.775435447692871
7209,5.862088680267334
7212,5.276302814483643
7220,9.459834098815918
7281,-4.047817230224609
7384,-5.310208320617676
7394,-4.100819110870361
7485,-6.743982315063477
7516,-2.193716049194336
7568,-14.317127227783203
7635,2.28755259513855
7701,6.3395161628723145
7708,6.485785961151123
7753,-12.06859016418457
7796,6.597820281982422
7830,-2.0923593044281006
7840,-0.5762976408004761
7853,-2.2134273052215576
7909,-4.279394149780273
7924,-2.529916524887085
7925,-10.638455390930176
7957,3.795957565307617
7987,5.565871238708496
8021,4.771697998046875
8023,2.8592658042907715
8046,-9.250012397766113
8050,-3.6252293586730957
8072,-14.001412391662598
8073,-17.617788314819336
8110,-4.527678489685059
8112,-7.80863094329834
8128,-14.702892303466797
8146,-7.546437740325928
8184,0.18218331038951874
8190,5.913188934326172
8198,3.7794973850250244
8235,-9.236885070800781
8254,3.7620608806610107
8278,-6.383828163146973
8286,-3.5496459007263184
8291,-5.124240875244141
8346,10.318517684936523
8347,3.833575963973999
8362,3.1051623821258545
8393,-0.8332940936088562
8398,-4.011723518371582
8430,-6.303609371185303
8437,-4.17331600189209
8459,-13.850174903869629
8530,6.429847240447998
8618,-1.3930590152740479
8629,-2.2157704830169678
8680,-1.532213807106018
8737,-0.20787866413593292
8749,9.625807762145996
8750,2.9612131118774414
8780,-1.2092829942703247
8781,1.8845113515853882
8799,-8.567723274230957
8832,-10.807353019714355
8868,-13.287592887878418
8907,-12.206767082214355
8926,2.3386645317077637
8937,9.022326469421387
8949,-4.689319610595703
8952,-6.470937728881836
8959,-2.7010226249694824
8968,3.9568028450012207
8969,6.171988487243652
8998,1.244382619857788
9059,-26.332717895507812
9076,-14.21307373046875
9083,-7.021592140197754
9099,-6.664397239685059
9103,-7.929938316345215
9106,0.9448197484016418
9167,-1.1641981601715088
9179,-6.074834823608398
9215,-1.498801350593567
9220,5.757456302642822
9245,-6.899455547332764
9283,-18.650163650512695
9286,-4.927048683166504
9293,-19.59865379333496
9296,-12.504676818847656
9337,-19.90199851989746
9362,-0.8783236145973206
9379,-2.2668819427490234
9452,0.41992151737213135
9490,-13.4638032913208
9556,-3.3850955963134766
9573,-0.8499490022659302
9586,-3.2975659370422363
9606,-2.6395182609558105
9654,6.281829833984375
9674,-15.946235656738281
9705,-10.123299598693848
9732,-9.909049987792969
9756,-8.190398216247559
9762,-2.220612049102783
9817,-1.1844004392623901
9915,-12.241602897644043
9941,-11.192700386047363
9966,11.901628494262695
9986,6.356223106384277
10001,-5.487707614898682
10086,-6.556588172912598
10100,-3.428616523742676
10117,-16.183547973632812
10186,-1.0065416097640991
10195,1.4001460075378418
10235,-3.069486618041992
10245,-0.7221159934997559
10256,-8.982290267944336
10287,-11.158918380737305
10352,19.717533111572266
10354,8.832296371459961
10370,-9.919699668884277
10381,-1.1614117622375488
10439,-7.5518879890441895
10444,-2.961153030395508
10482,-0.9874754548072815
10483,-6.990296840667725
10498,-15.866321563720703
10502,-11.746526718139648
10503,-8.475165367126465
10527,-15.337285995483398
10550,1.3087637424468994
10565,-3.6442384719848633
10631,-1.1371608972549438
10632,-7.3697686195373535
10635,-4.5019121170043945
10640,-3.9796810150146484
10678,-1.6482335329055786
10691,-12.773945808410645
10728,-8.904026985168457
10738,3.1206531524658203
10763,-1.1317212581634521
10807,-6.257673740386963
10828,-0.9629421234130859
10836,-1.8751990795135498
10861,-3.3801212310791016
10863,-13.194549560546875
10880,-7.271979331970215
10907,-10.194605827331543
10916,-11.92336368560791
10931,-9.266322135925293
10977,15.779182434082031
10982,-2.7899868488311768
11031,-0.0397455133497715
11062,-7.0006422996521
11076,-5.640810966491699
11084,-17.24635124206543
11100,-2.5432517528533936
11179,-1.0110012292861938
11209,-3.4550557136535645
11216,-1.0184065103530884
11220,-2.491131067276001
11261,4.486565589904785
11277,-0.12767410278320312
11290,-7.061069488525391
11292,-8.858440399169922
11308,-12.6566743850708
11329,-3.4343464374542236
11331,-6.563967704772949
11335,-2.02095365524292
11336,-4.443870544433594
11376,3.1939234733581543
11400,0.796890377998352
11418,1.5506820678710938
11442,9.052753448486328
11445,4.2482781410217285
11457,-3.0432751178741455
11492,-15.958467483520508
11505,-7.867392539978027
11537,2.276498794555664
11548,7.210620880126953
11587,9.083287239074707
11614,-5.663577079772949
11691,-0.3675311803817749
11692,-3.1052393913269043
11694,1.6733510494232178
11701,-3.018326997756958
11707,-6.067534446716309
11715,-15.694608688354492
11724,-8.873696327209473
11784,5.410346984863281
11804,-1.099794626235962
11814,-8.582529067993164
11815,-1.9876959323883057
11821,5.34026575088501
11869,-5.67016077041626
11881,-1.9917640686035156
11886,-7.369693756103516
11888,-7.329806327819824
11901,-7.8348259925842285
11969,2.120502233505249
11983,-1.8866037130355835
11989,6.4872565269470215
12048,-0.10959484428167343
12051,-9.10583782196045
12068,-8.082562446594238
12075,-1.9576717615127563
12111,-15.07238483428955
12117,-12.78113079071045
12129,-12.046317100524902
12186,0.8999813795089722
12212,6.022312641143799
12223,-1.9392359256744385
12232,-2.3838043212890625
12259,-1.6183876991271973
12275,2.349897861480713
12320,0.1671120822429657
12326,-1.30557382106781
12389,6.907957553863525
12411,-2.310187816619873
12413,-9.60087776184082
12418,-10.044611930847168
12426,-7.051177978515625
12435,-4.024195194244385
12492,0.8993138074874878
12546,-1.187052845954895
12575,3.0295639038085938
12581,0.7093750834465027
12590,2.050075054168701
12625,-4.051944732666016
12641,-1.248286485671997
12672,-0.37336966395378113
12673,-4.7765350341796875
12691,-12.00240707397461
12700,4.464093208312988
12732,-11.293110847473145
12733,-5.30153751373291
12739,-5.6841912269592285
12741,-9.449976921081543
12745,-3.348442554473877
12783,4.222753524780273
12845,-8.463024139404297
12862,-0.9305176734924316
12892,-4.898789405822754
12902,-0.25104478001594543
12923,-11.252358436584473
12995,0.4661400616168976
13009,-0.5928722620010376
13016,1.985772967338562
13025,-8.666090965270996
13049,0.5877975225448608
13069,-8.687809944152832
13083,-1.5921125411987305
13114,-12.264074325561523
13152,2.00823974609375
13158,0.07670702040195465
13170,-7.56371545791626
13175,1.5948984622955322
13178,3.4384238719940186
13190,0.6472371816635132
13225,-2.7588863372802734
13228,-7.401773929595947
13244,-0.479172945022583
13266,-3.8300178050994873
13312,-6.835668087005615
13313,-5.99412727355957
13384,-3.3525230884552
13394,9.063115119934082
13404,-1.111006259918213
13410,6.347968101501465
13411,4.824043273925781
13452,-0.8965038061141968
13454,-3.4567642211914062
13514,-8.670215606689453
13575,3.587524890899658
13581,-1.1640945672988892
13587,3.381113290786743
13589,-2.9049253463745117
13606,-1.397992491722107
13631,1.8186454772949219
13642,-1.0326915979385376
13691,-4.8632049560546875
13746,1.0990475416183472
13753,-10.18049430847168
13796,1.194732666015625
13858,-1.3790159225463867
13861,-7.056034088134766
13874,-1.2837636470794678
13892,-4.405765533447266
13924,-1.8692995309829712
13929,-4.292891502380371
13950,-1.0668869018554688
13957,-5.605257034301758
13958,-8.841695785522461
13960,1.5087124109268188
13969,-4.0723772048950195
14013,7.053927421569824
14084,-3.6032376289367676
14087,3.444472074508667
14105,-9.631048202514648
14110,-4.801486968994141
14114,-4.048083305358887
14132,3.354344367980957
14153,-15.817354202270508
14214,-0.479093462228775
14245,-1.8476455211639404
14273,0.31148162484169006
14321,-3.8846852779388428
14329,-9.623421669006348
14350,2.594433069229126
14371,-4.965241432189941
14389,-7.201109409332275
14468,3.829105854034424
14490,-5.668816566467285
14550,-8.773618698120117
14582,-11.214485168457031
14625,-1.8027034997940063
14633,-2.234557628631592
14639,-8.57017707824707
14664,-1.599123239517212
14709,-2.344592571258545
14729,-6.922560214996338
14777,4.928868770599365
14867,4.435914039611816
14870,0.7834715247154236
14909,0.17313063144683838
14919,-1.9214528799057007
14929,-9.703386306762695
14947,-2.320023775100708
14958,0.85211580991745
14980,-3.1013081073760986
14981,-9.372346878051758
15014,-6.30587100982666
15033,-5.252547740936279
15075,3.439188003540039
15106,2.8046112060546875
15124,-0.6880196928977966
15158,-2.90335750579834
15169,-1.8740296363830566
15204,-1.229648232460022
15220,2.9825918674468994
15226,-3.90002703666687
15240,-0.4997851848602295
15274,-2.2567665576934814
15283,3.019803047180176
15329,4.607532501220703
15334,2.59363055229187
15381,-1.8823543787002563
15397,-5.641645908355713
15408,-0.6326465010643005
15417,2.224576711654663
15427,-5.206768989562988
15429,4.260542869567871
15459,0.7303279638290405
15462,-5.0974249839782715
15463,-7.739833354949951
15475,1.3700038194656372
15482,-6.168212890625
15515,3.9766042232513428
15533,-0.03276675194501877
15554,-0.8761767148971558
15561,1.276919960975647
15606,-7.848974227905273
15615,-1.6206824779510498
15637,-5.72927188873291
15654,-0.2787535488605499
15714,-1.5977036952972412
15719,-1.6427210569381714
15743,-3.4999992847442627
15779,-0.21850712597370148
15780,1.0511863231658936
15831,-2.8257875442504883
15856,-2.5680184364318848
15917,0.0996754989027977
15924,2.9111502170562744
15925,5.605101585388184
15929,-0.4660947918891907
15960,4.66126012802124
16049,-1.603203535079956
16074,-2.026132583618164
16086,2.6211860179901123
16121,-1.098831057548523
16183,-0.4159398674964905
16184,-6.710116386413574
16197,0.21680887043476105
16225,-0.922089159488678
16254,-2.8322532176971436
16265,-9.127694129943848
16315,-2.8759195804595947
16348,3.956166982650757
16382,1.976886510848999
16473,1.0438330173492432
16483,-2.630127191543579
16527,-6.744301795959473
16530,-4.719592571258545
16538,-1.2613791227340698
16559,4.768316745758057
16569,5.759763717651367
16581,3.411954879760742
16584,-1.4186350107192993
16597,-1.1734578609466553
16603,-0.8167909979820251
16622,-2.302074909210205
16706,1.6568609476089478
16735,-4.413494110107422
16760,-4.944354057312012
16764,1.045960783958435
16780,-5.783069610595703
16782,-3.564523935317993
16809,-7.28539514541626
16828,-5.391294002532959
16857,0.7367186546325684
16867,2.933256149291992
16873,-2.0752696990966797
16875,-4.176177024841309
16878,3.8241384029388428
16890,1.56533944606781
16917,-2.782656669616699
16956,0.09918557852506638
16983,-7.823888778686523
17084,-4.343109130859375
17129,-6.597102642059326
17155,0.9655418395996094
17160,-6.4685378074646
17165,-4.703609466552734
17186,-1.8066802024841309
17231,-3.261944055557251
17247,3.700355052947998
17308,2.039339780807495
17315,-0.4688493609428406
17332,-1.7426968812942505
17336,-7.260447978973389
17339,-1.8365246057510376
17382,1.558311104774475
17388,-4.040760517120361
17432,-7.759291648864746
17443,-10.402095794677734
17452,-2.9056146144866943
17473,1.3282155990600586
17483,-1.5817301273345947
17484,2.4731802940368652
17514,-1.2612478733062744
17531,-3.7344768047332764
17534,-2.353839159011841
17543,-1.6941804885864258
17582,-0.5084426403045654
17590,1.9451982975006104
17632,-8.510026931762695
17641,-3.961026191711426
17676,-9.380701065063477
17689,-2.586599111557007
17753,-3.1618144512176514
17768,-3.672229290008545
17785,-0.08548279851675034
17786,0.12907931208610535
17792,4.607541561126709
17839,4.056946754455566
17841,0.16282689571380615
17843,3.6734232902526855
17860,-9.231260299682617
17869,-4.8167643547058105
17876,-0.9359129071235657
17938,0.2462259978055954
17957,0.4967100918292999
18009,-1.6484051942825317
18039,-1.1684644222259521
18071,-1.3564318418502808
18088,-3.9709277153015137
18149,-5.316944122314453
18182,1.6003854274749756
18199,-1.5353996753692627
18208,-0.10811814665794373
18211,0.7811871767044067
18241,2.818523645401001
18247,-3.0676000118255615
18257,6.3737568855285645
18267,-0.24422982335090637
18301,-2.356269598007202
18326,-2.996615171432495
18350,-4.526430606842041
18360,-11.090510368347168
18362,-7.415953636169434
18376,-2.2340033054351807
18403,-5.752834320068359
18425,2.0601072311401367
18455,4.674454212188721
18464,-4.672213554382324
18495,-2.0645105838775635
18503,-0.24188223481178284
18522,-0.5151575803756714
18539,-3.040154218673706
18542,-0.20110085606575012
18547,2.3546788692474365
18578,-2.533224105834961
18637,1.08724045753479
18639,-6.8034210205078125
18643,1.0552171468734741
18678,-1.4292904138565063
18683,-7.517519950866699
18731,-0.6702518463134766
18779,-3.9474480152130127
18789,-10.300775527954102
18824,-6.846456527709961
18847,-5.284490585327148
18860,1.8343925476074219
18870,-6.39016580581665
18886,1.2173434495925903
18893,1.0059782266616821
18912,-8.570140838623047
18938,-6.446765899658203
18955,-6.723307132720947
18962,-7.533358097076416
18980,-12.306434631347656
19005,-0.9593065977096558
19043,0.8869231343269348
19048,-4.574892520904541
19051,-4.6742963790893555
19061,-6.2843780517578125
19069,-6.434123516082764
19070,-7.026756763458252
19093,-4.423318862915039
19110,-1.0282626152038574
19176,-2.0563230514526367
19256,1.89467453956604
19336,-6.599095821380615
19342,0.47259947657585144
19351,-6.0246806144714355
19353,-3.212494373321533
19384,1.5147356986999512
19396,-2.860413074493408
19410,-0.6820867657661438
19415,0.9051215648651123
19454,-2.3894267082214355
19489,0.035608746111392975
19495,3.6305902004241943
19498,3.5107052326202393
19560,-4.44400691986084
19567,-2.7855827808380127
19571,-4.830246925354004
19680,-3.0729007720947266
19710,0.4572819173336029
19734,-5.437382221221924
19745,-5.004706382751465
19755,-1.6410337686538696
19759,8.109428405761719
19789,-14.67834186553955
19809,8.174202919006348
19956,-0.66375732421875
19989,-3.115983247756958
20050,-0.8310275077819824
20058,-9.350422859191895
20112,-2.8015642166137695
20113,-0.5332342982292175
20154,-4.399628162384033
20197,-1.3163163661956787
20201,0.7099935412406921
20206,4.124237537384033
20208,2.0143957138061523
20209,-1.8045231103897095
20232,-0.12229710817337036
20234,-2.133793830871582
20274,-5.462936878204346
20283,-4.0738606452941895
20333,1.07095205783844
20342,-0.951352596282959
20374,-0.9325959086418152
20380,2.7563395500183105
20389,2.375666379928589
20424,-2.102600336074829
20426,2.6644153594970703
20437,-3.2608587741851807
20438,1.5231361389160156
20440,-3.4983630180358887
20448,-1.1654008626937866
20501,0.3842639923095703
20520,3.456383228302002
20546,-4.078232765197754
20550,-5.670835494995117
20568,-0.036906469613313675
20606,-5.834094047546387
20609,5.537707328796387
20615,3.465184450149536
20629,-0.03697168081998825
20663,-1.4413434267044067
20692,0.22229181230068207
20693,1.254425287246704
20694,1.444342851638794
20705,-1.2935069799423218
20715,2.1744277477264404
20735,-0.026980308815836906
20748,-4.944087982177734
20769,-1.5350792407989502
20771,2.2486205101013184
20783,-4.316826820373535
20791,-6.328831195831299
20799,-0.08206794410943985
20800,-3.409177541732788
20831,-1.2995954751968384
20838,-4.0525383949279785
20842,2.307709217071533
20893,0.3807079792022705
20894,1.4280966520309448
20906,-3.197127103805542
20909,-3.577622652053833
20917,1.8303937911987305
20946,-1.8363230228424072
20949,-1.531069040298462
20969,-4.670764923095703
20975,-3.6913065910339355
21001,-5.627989768981934
21017,-2.92586612701416
21063,0.5110475420951843
21119,-2.9778199195861816
21171,-3.2558085918426514
21211,-1.3520660400390625
21240,1.0419297218322754
21261,2.2053894996643066
21264,-5.44739294052124
21289,-2.672294855117798
21306,2.5896668434143066
21325,0.49943631887435913
21336,0.7967089414596558
21375,-1.8394938707351685
21383,2.6612637042999268
21402,0.06137078255414963
21411,2.83278226852417
21414,0.6430233716964722
21419,-3.874574899673462
21488,-2.4070353507995605
21492,-4.507794380187988
21524,1.648646354675293
21681,2.5364625453948975
21698,-6.4439849853515625
21736,-1.2540730237960815
21749,4.639459609985352
21763,-4.991173267364502
21781,3.3308286666870117
21805,-0.08043979108333588
21845,1.4269487857818604
21873,1.9378318786621094
21881,3.411548376083374
21900,-0.32489514350891113
21911,-5.09615421295166
21928,2.166036605834961
21952,-0.5691016912460327
21961,-2.03056263923645
21973,0.2806483805179596
21990,-6.20721435546875
22019,-3.137559175491333
22027,3.0929272174835205
22033,-3.5261423587799072
22036,-0.161483496427536
22085,1.2635951042175293
22095,-1.7731971740722656
22104,-2.3922500610351562
22120,2.19561767578125
22139,-5.309653282165527
22158,-0.4920857846736908
22202,-1.4252982139587402
22219,-1.0776522159576416
22224,-3.641401767730713
22238,0.10045429319143295
22240,-1.2943683862686157
22270,-1.645939588546753
22298,0.3136356770992279
22340,-1.9080599546432495
22348,-2.8849430084228516
22354,2.8297042846679688
22357,5.184847354888916
22367,-2.006373405456543
22388,-1.1235500574111938
22405,-1.521787166595459
22409,-3.54535174369812
22419,-5.306766510009766
22425,-7.413524627685547
22441,0.8680412769317627
22442,1.9271948337554932
22471,0.7052977681159973
22582,0.07906359434127808
22583,-2.652371406555176
22587,-5.410079002380371
22588,-5.997823238372803
22602,-0.7043709754943848
22637,-0.7057358622550964
22638,-2.309865951538086
22649,-0.6911026239395142
22651,-1.4141976833343506
22652,-4.768819332122803
22653,0.186128169298172
22673,-2.075194835662842
22739,3.0432209968566895
22775,2.5513463020324707
22828,-6.219541072845459
22839,-4.202751159667969
22847,-4.890225887298584
22900,-16.260791778564453
22913,-4.256960868835449
22940,-4.806833744049072
22947,-2.263498306274414
22966,2.9388656616210938
22988,0.8298332691192627
23020,4.6110053062438965
23032,-0.8601102232933044
23046,-0.6040344834327698
23050,-3.0211966037750244
23066,2.9793214797973633
23085,2.4864628314971924
23091,-5.637503147125244
23095,2.647188663482666
23096,-1.7631160020828247
23105,-1.9720274209976196
23126,-2.323345422744751
23167,0.6128708720207214
23179,0.16366903483867645
23195,1.85321843624115
23205,1.8373582363128662
23225,-3.1997382640838623
23239,2.0884740352630615
23243,1.358809471130371
23258,-1.5923572778701782
23261,-3.9025120735168457
23288,-0.08403142541646957
23291,-3.008939743041992
23298,1.2628376483917236
23308,-0.146791011095047
23314,-0.04213342070579529
23323,-1.1665136814117432
23326,1.4351571798324585
23333,-3.2481815814971924
