steps,episode_reward
672,-97.21405029296875
1344,-105.5326156616211
2016,-17708.353515625
2688,-5389.58935546875
3360,-1256.4205322265625
4032,-15502.9228515625
4704,-2208.6845703125
5376,-101.43592834472656
6048,-15313.9306640625
6720,-1614.8602294921875
7392,-1770.7752685546875
8064,-15738.4560546875
8736,-4826.94580078125
9408,-6162.28955078125
10080,-5160.26123046875
10752,-6656.27734375
11424,-7100.794921875
12096,-222.47238159179688
12768,-10701.6982421875
13440,-1485.7154541015625
14112,-463.216064453125
14784,-143.38198852539062
15456,-1447.8587646484375
16128,-832.823486328125
16800,-394.7503662109375
17472,-4218.51806640625
18144,-338.71002197265625
18816,-753.20556640625
19488,-199.58848571777344
20160,-4455.4990234375
20832,-1332.4835205078125
21504,-123.6551742553711
22176,-9644.0771484375
22848,-127.03776550292969
23520,-4559.5
24192,-798.1416015625
24864,-796.2378540039062
25536,-1655.6400146484375
26208,-988.5994873046875
26880,-153.75645446777344
27552,-1983.639892578125
28224,-90.52596282958984
28896,-187.0521240234375
29568,-107.4610824584961
30240,-93.87290954589844
30912,-3535.996826171875
31584,-261.70587158203125
32256,-92.72712707519531
32928,-106.84628295898438
33600,-96.5406494140625
34272,-415.19671630859375
34944,-2248.007080078125
35616,-185.77166748046875
36288,-3309.2900390625
36960,-86.09258270263672
37632,-2261.319580078125
38304,-318.17333984375
38976,-184.03103637695312
39648,-222.5675506591797
40320,-790.1242065429688
40992,-506.1685791015625
41664,-89.9906005859375
42336,-1166.2069091796875
43008,-1293.5147705078125
43680,-853.4924926757812
44352,-81.06966400146484
45024,-468.612060546875
45696,-107.49516296386719
46368,-1462.8812255859375
47040,-111.06769561767578
47712,-92.56547546386719
48384,-401.1819152832031
49056,-1243.657470703125
49728,-89.08594512939453
50400,-1233.7935791015625
51072,-363.3765563964844
51744,-288.9163818359375
52416,-1168.5823974609375
53088,-453.9273376464844
53760,-86.09754943847656
54432,-127.22618103027344
55104,-233.52354431152344
55776,-86.31207275390625
56448,-99.31488800048828
57120,-165.47210693359375
57792,-84.12544250488281
58464,-1048.6407470703125
59136,-93.81832885742188
59808,-2440.9345703125
60480,-2694.652587890625
61152,-124.53349304199219
61824,-531.158203125
62496,-139.1480712890625
63168,-126.83573913574219
63840,-270.6192932128906
64512,-115.06951904296875
65184,-135.787109375
65856,-1701.7279052734375
66528,-445.5333251953125
67200,-107.79156494140625
67872,-182.2508544921875
68544,-1007.534423828125
69216,-3241.614501953125
69888,-94.84933471679688
70560,-297.4707946777344
71232,-107.26155090332031
71904,-224.572998046875
72576,-156.5355682373047
73248,-90.06426239013672
73920,-90.47520446777344
74592,-212.01829528808594
75264,-150.28829956054688
75936,-250.86245727539062
76608,-507.5914611816406
77280,-98.6021499633789
77952,-339.86004638671875
78624,-91.65777587890625
79296,-105.01766204833984
79968,-98.51365661621094
80640,-391.83087158203125
81312,-3686.09326171875
81984,-271.889892578125
82656,-569.5619506835938
83328,-1068.7958984375
84000,-1641.58935546875
84672,-104.17449188232422
85344,-436.2705383300781
86016,-124.13841247558594
86688,-321.07098388671875
87360,-647.2852783203125
88032,-93.0926742553711
88704,-197.38951110839844
89376,-184.82789611816406
90048,-1073.5198974609375
90720,-99.14215850830078
91392,-3343.66943359375
92064,-96.18185424804688
92736,-89.8347396850586
93408,-134.43875122070312
94080,-543.13916015625
94752,-238.21168518066406
95424,-386.244140625
96096,-93.5192642211914
96768,-89.45428466796875
97440,-1044.7503662109375
98112,-139.25009155273438
98784,-331.8878173828125
99456,-89.92158508300781
100128,-208.12579345703125
100800,-584.4129028320312
101472,-3525.823486328125
102144,-95.12224578857422
102816,-95.39803314208984
103488,-246.16842651367188
104160,-958.6953735351562
104832,-164.15127563476562
105504,-2192.14794921875
106176,-127.57772064208984
106848,-94.5411148071289
107520,-118.32652282714844
108192,-906.2470092773438
108864,-87.97860717773438
109536,-97.082763671875
110208,-83.21307373046875
110880,-258.87109375
111552,-102.34664916992188
112224,-104.50843048095703
112896,-131.65744018554688
113568,-178.3284149169922
114240,-1123.037353515625
114912,-233.1254119873047
115584,-89.918701171875
116256,-343.3398132324219
116928,-177.18397521972656
117600,-126.90865325927734
118272,-97.99507904052734
118944,-1203.0777587890625
119616,-69.28534698486328
120288,-174.95477294921875
120960,-83.52865600585938
121632,-102.31224822998047
122304,-135.90768432617188
122976,-1864.0269775390625
123648,-90.5206069946289
124320,-233.81690979003906
124992,-225.59425354003906
125664,-92.13897705078125
126336,-92.68006896972656
127008,-90.55359649658203
127680,-319.9471130371094
128352,-89.92235565185547
129024,-130.57127380371094
129696,-311.6813049316406
130368,-92.6855239868164
131040,-228.33531188964844
131712,-528.7456665039062
132384,-81.09004974365234
133056,-110.49299621582031
133728,-266.1824035644531
134400,-266.2447814941406
135072,-675.7860717773438
135744,-402.1735534667969
136416,-783.06103515625
137088,-268.7088928222656
137760,-106.79597473144531
138432,-105.86216735839844
139104,-483.68194580078125
139776,-111.00908660888672
140448,-463.57684326171875
141120,-108.36154174804688
141792,-1282.2791748046875
142464,-139.6751708984375
143136,-1349.4388427734375
143808,-532.7335205078125
144480,-1705.4637451171875
145152,-263.99957275390625
145824,-2282.145751953125
146496,-1788.4285888671875
147168,-402.1990966796875
147840,-102.18115997314453
148512,-1799.3624267578125
149184,-452.60198974609375
149856,-117.52825164794922
150528,-102.02613830566406
151200,-90.03028106689453
151872,-152.4095001220703
152544,-97.41407775878906
