steps,input_info/rewards
677,-0.14770035445690155
688,-0.1416618525981903
695,-0.1445067971944809
728,-0.14133220911026
738,-0.14708212018013
744,-0.14439117908477783
753,-0.14669768512248993
779,-0.14833076298236847
814,-0.14934277534484863
817,-0.14588458836078644
823,-0.1467713713645935
843,-0.14518983662128448
847,-0.14528882503509521
860,-0.14923641085624695
899,-0.14984115958213806
924,-0.1478973627090454
929,-0.14995966851711273
977,-0.14790239930152893
996,-0.1517169326543808
1048,-0.14870841801166534
1050,-0.1504731923341751
1157,-0.1503545641899109
1194,-0.1513315886259079
1198,-0.14964666962623596
1202,-0.15127165615558624
1236,-0.15222801268100739
1262,-0.15128006041049957
1278,-0.1531369388103485
1287,-0.15410003066062927
1324,-0.14834511280059814
1325,-0.15153856575489044
1338,-0.15279406309127808
1381,-0.15085312724113464
1424,-0.1524677723646164
1429,-0.14864064753055573
1431,-0.1508544683456421
1437,-0.1488257795572281
1457,-0.32888075709342957
1489,-1.9344028234481812
1501,-1.6031934022903442
1515,-1.2175424098968506
1519,-1.3215605020523071
1521,-1.4594663381576538
1526,-2.5087571144104004
1549,-1.5703495740890503
1556,-2.4478280544281006
1586,-3.0989298820495605
1593,-3.512629985809326
1598,-4.1996331214904785
1655,-4.880143165588379
1712,-6.280886173248291
1729,-6.836559295654297
1734,-7.060474395751953
1764,-8.080865859985352
1801,-9.29394817352295
1850,-8.934606552124023
1894,-8.398527145385742
1909,-7.238182544708252
1975,-8.109964370727539
1999,-9.667938232421875
2010,-8.523594856262207
2025,-8.9564208984375
2063,-8.739019393920898
2072,-7.603294849395752
2082,-7.822534561157227
2109,-6.955166816711426
2155,-9.87956714630127
2192,-9.305683135986328
2231,-9.339381217956543
2249,-8.34776496887207
2251,-8.224264144897461
2300,-9.03515911102295
2306,-8.616902351379395
2340,-8.629859924316406
2362,-8.992158889770508
2369,-7.044003486633301
2376,-8.17464542388916
2442,-8.35593032836914
2450,-8.412753105163574
2460,-8.203168869018555
2536,-8.538991928100586
2539,-8.00007438659668
2573,-7.856597900390625
2589,-8.960710525512695
2595,-9.228567123413086
2598,-8.540111541748047
2701,-9.006650924682617
2719,-8.082721710205078
2736,-7.524594783782959
2789,-7.53945779800415
2795,-7.0656280517578125
2825,-7.506943702697754
2841,-7.340437889099121
2909,-8.688077926635742
2915,-7.12295389175415
2919,-7.611575126647949
2947,-7.219097137451172
3016,-7.660294532775879
3060,-8.968974113464355
3062,-8.819974899291992
3073,-7.395771026611328
3097,-8.938096046447754
3147,-8.139369010925293
3174,-7.177011966705322
3186,-6.8220086097717285
3201,-8.624885559082031
3219,-8.5715913772583
3257,-8.465685844421387
3260,-7.4879841804504395
3273,-6.970917701721191
3275,-8.075535774230957
3300,-7.065317630767822
3367,-6.576270580291748
3375,-7.281047821044922
3422,-8.532890319824219
3435,-9.137295722961426
3472,-8.274152755737305
3473,-9.215991973876953
3484,-8.024975776672363
3532,-8.282858848571777
3534,-7.731739521026611
3677,-8.199116706848145
3680,-8.706157684326172
3708,-9.14568042755127
3729,-8.326132774353027
3774,-7.287270545959473
3799,-8.20640754699707
3807,-9.942362785339355
3816,-7.862467288970947
3832,-7.97434139251709
3838,-8.967826843261719
3859,-7.046361923217773
3874,-8.766960144042969
3980,-9.158793449401855
4000,-8.7324857711792
4006,-9.570759773254395
4014,-8.218061447143555
4042,-9.57133960723877
4053,-8.95293140411377
4070,-11.003765106201172
4077,-9.090291976928711
4089,-9.268937110900879
4107,-10.601385116577148
4135,-9.184324264526367
4141,-9.6647310256958
4162,-9.114347457885742
4186,-9.711835861206055
4203,-8.950547218322754
4211,-9.296520233154297
4212,-10.070385932922363
4215,-9.74817943572998
4234,-10.758696556091309
4275,-9.59852123260498
4311,-9.30415153503418
4317,-9.081562995910645
4335,-8.906877517700195
4349,-8.729048728942871
4372,-8.70129108428955
4375,-8.510294914245605
4383,-10.164267539978027
4387,-10.289628028869629
4391,-10.462923049926758
4394,-8.015735626220703
4411,-9.296928405761719
4418,-9.752151489257812
4461,-7.343842506408691
4484,-8.325760841369629
4524,-9.887696266174316
4595,-9.227234840393066
4602,-9.399730682373047
4617,-9.696168899536133
4652,-8.373086929321289
4669,-10.695462226867676
4721,-8.468594551086426
4730,-7.489701271057129
4732,-8.176676750183105
4751,-8.677943229675293
4785,-8.08653736114502
4809,-10.017681121826172
4825,-7.866324424743652
4845,-9.0978364944458
4859,-10.377025604248047
4877,-8.60804557800293
4913,-7.432531356811523
4924,-8.317659378051758
4929,-7.394625663757324
4938,-7.531093120574951
5039,-8.835360527038574
