#{"env_id": null, "t_start": 1610141265.1776073}
r,l,t
-3.28695,96,19.29544
-2.975807,96,38.394598
-12.775346,96,57.984001
-3.797193,96,77.019181
-3.098598,96,94.844064
-3.173695,96,112.962689
-3.060328,96,133.025912
-3.821181,96,150.335161
-4.157832,96,168.670202
-6.34114,96,186.566656
-10.274754,96,205.041039
-4.425362,96,222.991226
-1.768095,96,241.486945
-4.836767,96,262.07899
-2.11255,96,282.410177
-1.968324,96,302.51928
-4.436234,96,323.412929
-5.969233,96,342.327486
-2.172158,96,361.24736
-2.469166,96,379.977563
-18.987529,96,397.752484
-3.407037,96,415.933101
-14.926041,96,435.39371
-4.17339,96,454.720589
-5.878627,96,474.297162
-2.509249,96,492.049651
-1.405502,96,511.142214
-7.918507,96,530.195887
-15.15549,96,547.532122
-2.309882,96,565.784036
-2.898727,96,584.191572
-2.830616,96,603.140452
-3.537849,96,621.882255
-3.886187,96,639.565971
-3.029403,96,657.844672
-4.017386,96,676.753631
-2.80584,96,695.432563
-2.743324,96,713.749187
-3.133713,96,730.904536
-14.108087,96,748.931808
-6.639237,96,767.012155
-4.33871,96,784.976988
-9.68285,96,804.481327
-13.948018,96,822.699653
-13.090343,96,842.12092
-4.510213,96,861.175879
-2.759709,96,880.257344
-4.022932,96,897.373704
-3.260878,96,916.188509
-2.051687,96,936.582916
-6.036787,96,956.267175
-3.119594,96,978.166946
-1.377266,96,995.703653
-12.034931,96,1013.575507
-2.148418,96,1032.003511
-3.025672,96,1049.878417
-2.465686,96,1068.137456
-3.964152,96,1085.729465
-10.559264,96,1104.411648
-8.133948,96,1123.34919
-8.441873,96,1140.158556
-9.405825,96,1158.305849
-1.276851,96,1176.649038
1.223934,96,1195.465123
-6.372649,96,1213.33483
-5.261114,96,1231.587836
-0.805668,96,1248.766603
-8.804633,96,1267.178852
-6.54963,96,1286.450477
-1.01841,96,1303.432552
-1.522238,96,1320.87444
-1.766687,96,1338.726316
-1.528719,96,1355.575504
-2.642651,96,1372.995307
-4.415561,96,1390.036832
-2.113184,96,1407.829692
-5.01709,96,1425.073223
-4.220596,96,1442.792102
-2.650738,96,1460.286867
-5.862491,96,1476.981728
-7.133122,96,1494.679846
-0.605071,96,1512.080245
-0.653558,96,1529.866552
-4.579449,96,1546.600513
-8.532495,96,1565.443682
-4.177782,96,1583.604845
-3.418511,96,1602.743259
-3.033529,96,1621.802612
-0.320453,96,1640.070447
-9.095558,96,1656.942482
-2.749717,96,1674.847003
-0.812797,96,1692.10674
-2.301734,96,1709.239189
-8.240735,96,1725.925501
-1.320588,96,1743.125137
-0.181746,96,1759.065226
-1.044583,96,1777.017508
-2.861892,96,1793.585191
-0.345883,96,1811.467862
-2.119368,96,1827.799548
-1.886485,96,1844.935467
-0.460979,96,1861.847684
-1.189469,96,1878.06379
-0.478811,96,1895.255642
-1.599862,96,1911.237281
-3.30336,96,1927.656182
-5.389721,96,1945.100164
-0.724321,96,1961.732554
-0.146827,96,1978.198392
-0.206127,96,1995.777993
-0.91033,96,2012.73339
-2.978306,96,2031.035613
-9.306091,96,2051.146024
-0.685717,96,2077.482955
-3.285399,96,2099.697513
-9.969482,96,2117.266869
-9.58711,96,2133.772307
-6.280436,96,2151.515156
-0.658572,96,2168.418534
-5.419202,96,2185.362574
-0.602407,96,2201.970527
-1.220745,96,2218.191676
-7.85349,96,2234.776209
-10.150633,96,2254.409715
-8.376944,96,2273.059368
-15.326634,96,2292.202577
-3.747854,96,2310.427975
-0.365694,96,2326.744879
-4.279763,96,2344.813091
-1.625005,96,2361.162195
-1.819526,96,2379.227892
-0.42536,96,2395.590015
-17.387525,96,2413.309065
-0.323475,96,2429.632193
-2.414439,96,2446.0116
-3.487013,96,2462.95757
-0.429579,96,2479.215051
-3.260692,96,2496.325025
-4.259141,96,2513.151484
-0.291509,96,2529.746343
-5.328357,96,2546.451451
-7.887078,96,2563.382353
-9.529204,96,2580.406372
-1.314299,96,2597.953688
-0.468952,96,2614.810382
-0.381493,96,2633.372458
-2.752767,96,2649.670035
-11.23749,96,2666.344395
-0.614691,96,2683.15871
-2.940759,96,2700.242672
-7.815216,96,2717.287068
-3.678828,96,2734.236869
-0.717888,96,2751.179415
-2.204009,96,2768.043991
-5.364654,96,2784.354971
-8.855761,96,2801.955874
-1.425302,96,2818.833681
-1.354508,96,2835.854138
-2.392469,96,2853.304294
-1.022384,96,2869.78506
-9.165628,96,2887.48497
-2.534864,96,2904.16738
-7.374219,96,2925.024295
-2.812381,96,2944.162477
-5.024947,96,2962.387514
-2.405534,96,2980.820583
-9.567659,96,2997.477484
-5.707621,96,3014.918499
-1.590093,96,3031.437166
-3.596605,96,3048.329553
-0.301905,96,3064.968584
-1.055009,96,3081.542038
-8.968287,96,3098.482597
-6.027265,96,3115.136468
-6.084267,96,3132.060393
-3.523745,96,3149.18216
-2.876492,96,3166.75814
-4.779511,96,3183.12912
-11.717909,96,3200.71293
-1.146689,96,3218.364405
-3.055038,96,3235.40048
-5.362026,96,3251.758814
-2.837769,96,3268.58879
-0.678395,96,3286.085026
-1.069562,96,3302.64386
-2.209959,96,3319.481829
-3.145722,96,3337.926253
-0.44522,96,3354.828196
-5.028379,96,3371.845141
-0.819192,96,3389.098564
-3.228659,96,3406.882356
-5.297718,96,3424.89821
-8.155779,96,3441.839149
-0.731002,96,3459.266879
-1.221732,96,3478.223008
-0.795282,96,3497.380337
-1.994271,96,3516.082114
-1.192934,96,3534.941599
-4.561441,96,3553.355649
-1.979986,96,3576.595212
-1.792371,96,3597.839441
-1.833177,96,3618.832753
-2.207814,96,3638.60163
-1.206767,96,3657.631453
-0.493982,96,3675.969449
-6.513325,96,3693.6706
-1.718608,96,3712.170828
-1.487322,96,3730.400325
-7.740943,96,3749.511775
-2.463162,96,3767.909664
-2.179269,96,3786.328956
-4.652628,96,3805.650804
-7.790872,96,3825.2755
-14.625668,96,3844.791327
-1.98744,96,3863.130892
-4.419772,96,3883.646264
-4.463393,96,3902.073801
-9.957245,96,3920.801354
-10.158239,96,3939.018463
-1.80945,96,3957.804803
-3.771341,96,3978.149502
-1.786104,96,3996.223538
-5.722487,96,4014.853149
-1.587704,96,4034.633862
-3.22951,96,4052.947537
-4.839418,96,4071.719955
-4.030278,96,4089.718294
-4.002974,96,4108.49455
-1.692127,96,4127.060647
-3.595938,96,4145.18992
-10.683996,96,4163.046295
-2.751418,96,4182.839353
-8.080355,96,4200.492328
-2.221697,96,4218.857406
-6.012828,96,4238.949684
-2.246209,96,4261.175633
-3.085898,96,4280.538268
-9.228445,96,4302.100806
-2.109571,96,4320.55275
-0.943608,96,4338.796034
-9.20066,96,4357.983678
-1.390557,96,4374.822412
-5.159405,96,4393.035053
-2.087862,96,4411.285532
-3.285147,96,4431.27207
-2.717229,96,4449.197979
-9.047861,96,4465.721263
-3.748274,96,4484.566644
-3.382198,96,4502.094464
-4.281285,96,4520.803831
-3.506135,96,4538.084271
-1.45612,96,4557.129926
-1.513723,96,4574.613224
-4.243699,96,4591.549455
-7.637849,96,4609.220659
-3.784558,96,4626.131008
-2.235031,96,4642.653519
-0.594448,96,4659.671151
-4.900999,96,4677.573828
-3.800103,96,4694.650462
-3.772777,96,4711.556074
-5.821686,96,4728.713686
-2.230255,96,4745.240579
-7.798764,96,4762.737397
-5.277678,96,4779.606215
-2.058893,96,4796.447256
-6.870532,96,4814.457514
-7.776339,96,4831.136295
-2.296242,96,4848.136795
-0.957941,96,4866.853266
-1.734917,96,4884.112309
-9.747829,96,4901.51349
-5.587197,96,4919.622498
-0.605517,96,4938.16573
-2.848059,96,4957.125903
-2.78214,96,4978.857682
-2.253863,96,5000.333548
-2.32942,96,5019.750629
-1.217154,96,5039.068526
-4.107891,96,5056.942045
-1.49744,96,5075.075792
-4.359874,96,5094.642805
-4.635051,96,5112.202729
-0.427812,96,5129.671885
-4.108866,96,5148.133742
-1.023663,96,5167.21007
-0.554639,96,5183.61225
-4.488726,96,5202.137278
-1.453832,96,5220.816676
-1.42858,96,5239.324667
-6.323525,96,5258.74965
-4.71266,96,5277.035028
-1.180912,96,5295.903066
-11.759779,96,5314.416376
-2.32012,96,5332.307639
-14.444172,96,5351.067485
-4.288364,96,5368.899515
-1.2895,96,5386.577108
-2.890817,96,5405.520241
-3.46279,96,5423.671001
-1.365304,96,5442.238029
-1.350524,96,5460.731513
-7.728431,96,5478.332651
-1.479145,96,5496.990004
-7.447078,96,5515.539062
-8.630605,96,5533.397197
-1.062445,96,5552.5012
-0.983765,96,5570.272309
-4.914748,96,5590.559691
-7.255864,96,5611.468181
-3.645105,96,5631.851842
-2.025278,96,5650.202423
-2.152696,96,5667.619965
-1.319915,96,5684.938882
-4.155347,96,5703.784417
-1.822638,96,5720.718538
-4.583044,96,5738.684306
-3.957067,96,5756.785469
-4.009623,96,5774.088685
-1.706843,96,5792.097762
-0.68413,96,5809.639737
-7.996231,96,5827.373492
-4.851819,96,5844.817573
-5.550972,96,5862.148853
-6.083883,96,5879.993535
-3.565723,96,5899.082071
-1.02203,96,5917.937597
-2.560532,96,5935.893874
-4.488646,96,5954.746581
-5.578414,96,5973.538789
-1.534913,96,5990.537501
-4.781356,96,6008.594945
-5.42693,96,6026.656108
-1.590018,96,6044.704634
-3.042701,96,6063.306784
-3.532399,96,6081.226944
-1.607974,96,6099.518052
-2.37898,96,6117.336449
-2.375064,96,6133.258166
-4.842749,96,6151.008466
-1.34414,96,6169.028856
-6.386739,96,6186.785162
-1.781166,96,6205.245551
-1.675183,96,6223.917993
-3.251579,96,6244.680121
-1.409991,96,6264.109427
-1.972048,96,6283.572188
-1.91899,96,6303.983198
-2.346272,96,6320.996258
-4.689493,96,6339.385786
-4.097762,96,6357.587642
-1.273085,96,6374.771693
-4.272119,96,6392.465863
