#{"env_id": null, "t_start": 1610064778.4494104}
r,l,t
-218.225769,96,28.173381
-663.807333,96,64.940935
-285.898469,96,96.421365
-1000.981766,96,131.016632
-261.571554,96,157.996277
-254.386061,96,183.551171
-678.355863,96,207.883013
-17.96969,96,233.873146
-92.514528,96,254.880157
-172.934468,96,272.4937
-673.188615,96,290.272948
-1481.99189,96,306.790623
-650.575577,96,324.098483
-1557.062333,96,341.11769
-556.468708,96,358.082261
-353.726897,96,377.036153
-62.937784,96,398.620387
-409.346315,96,417.110752
-2.966027,96,434.179842
-799.251254,96,451.6107
-140.204702,96,469.129735
-230.137025,96,487.353603
-483.310123,96,504.275035
-63.135792,96,522.137966
-974.947656,96,539.384375
-121.099628,96,556.440404
-1263.465713,96,572.706237
-301.551553,96,590.646394
-109.725829,96,609.770676
-1436.118617,96,626.4875
-396.154694,96,645.292265
-393.815579,96,662.514047
-36.112539,96,680.650529
-78.120266,96,698.071729
-1.996517,96,715.908762
-54.377239,96,736.66015
-380.12458,96,756.533149
-22.210936,96,775.956761
-763.730551,96,793.956736
-368.643917,96,811.937135
-509.500432,96,831.096127
-81.016398,96,864.503192
-138.718243,96,884.583669
-667.741883,96,902.17266
-50.505333,96,919.402748
-140.354606,96,938.708736
-355.974966,96,956.699602
-153.570791,96,975.01925
-45.75955,96,991.774034
-27.135025,96,1009.388177
-272.25959,96,1027.286666
-94.766153,96,1047.238955
-244.130579,96,1067.468814
-61.833671,96,1088.632071
-333.310037,96,1107.079889
-415.473429,96,1124.631499
-61.919646,96,1140.930441
-402.991272,96,1157.267848
-283.48968,96,1173.560083
-10.587979,96,1189.963416
-20.316861,96,1207.052843
-413.251181,96,1223.763884
-112.538729,96,1239.83076
-743.938411,96,1256.414943
-268.427533,96,1275.832994
-736.316201,96,1292.613329
-277.403796,96,1309.889449
-4.082115,96,1327.409482
-69.77498,96,1344.788912
-113.005398,96,1360.410809
-393.064925,96,1376.444028
-105.571827,96,1395.342697
-432.96015,96,1414.986004
-103.479818,96,1433.391807
-34.519156,96,1451.235269
-10.03802,96,1467.196014
-215.915566,96,1482.954836
-14.888471,96,1499.25126
-647.988272,96,1515.183583
-224.154943,96,1531.276799
-224.584599,96,1547.757569
-263.128066,96,1564.099545
-94.864359,96,1580.277603
-359.26414,96,1598.493998
-14.46072,96,1614.390899
-919.205788,96,1629.58174
-97.197139,96,1645.639658
-10.452121,96,1661.530325
-812.168693,96,1677.435007
-84.640427,96,1693.236001
-165.153421,96,1709.1447
-34.172525,96,1725.269513
-207.684114,96,1741.423007
-856.191356,96,1756.928385
-199.854511,96,1772.987809
-6.444029,96,1788.559748
-717.994943,96,1805.19863
-284.256,96,1820.606973
-577.299379,96,1838.802374
-592.615841,96,1855.742724
-89.989861,96,1871.415356
-129.865469,96,1887.520607
-782.730742,96,1903.305719
-502.133701,96,1919.93898
-784.324294,96,1936.679913
-0.444993,96,1952.591666
-211.700446,96,1968.881896
-430.580487,96,1985.481993
-446.398999,96,2000.298744
-414.424528,96,2016.26451
-157.154613,96,2031.831383
-1055.517329,96,2049.630132
-517.970762,96,2068.133294
-387.223429,96,2086.174936
-37.533292,96,2104.185686
-982.168225,96,2119.478204
-168.540125,96,2135.475786
-79.79752,96,2154.334708
-257.418999,96,2172.48999
-0.755316,96,2188.761487
-142.122515,96,2204.247484
-0.736316,96,2219.920632
-279.162186,96,2235.717585
-12.903258,96,2252.21866
-105.900328,96,2268.065669
-318.890401,96,2283.85969
-662.445539,96,2299.482653
-33.089436,96,2315.620593
-354.851573,96,2331.549773
-77.93477,96,2347.736519
-217.938368,96,2364.579504
-442.725437,96,2380.056426
-162.129517,96,2395.525709
-382.543802,96,2411.158278
-1842.98158,96,2427.032909
-600.922036,96,2443.93035
-342.417503,96,2458.938514
-23.94437,96,2474.51314
-151.389607,96,2490.350024
-1.654569,96,2507.002004
-3.932708,96,2523.634806
-344.76226,96,2539.844843
-358.534452,96,2555.938695
-99.430824,96,2571.473286
-1263.879511,96,2587.824292
-337.420054,96,2603.095356
-229.420357,96,2618.643433
-296.502713,96,2634.061229
-431.51472,96,2650.755534
-393.373017,96,2666.163948
-636.04634,96,2682.628734
-18.769557,96,2698.369461
-52.739291,96,2716.241665
-244.440284,96,2735.118767
-1.396313,96,2753.041965
-25.99112,96,2771.75505
-224.820142,96,2788.545083
-432.761563,96,2805.759077
-376.423475,96,2821.366212
-107.098102,96,2839.547915
-911.96772,96,2858.483018
-115.022061,96,2876.270886
-1.791217,96,2892.924502
-389.402239,96,2910.990889
-490.157194,96,2928.063311
-1.783475,96,2944.521514
-339.341902,96,2962.647972
-689.08056,96,2979.417496
-112.885792,96,2996.717016
-448.027785,96,3013.221737
-205.869475,96,3030.217271
-217.270126,96,3047.1666
-79.358211,96,3065.146445
-95.403645,96,3083.318438
-150.756656,96,3100.435898
-262.518656,96,3119.871601
-172.704713,96,3138.263119
-843.158408,96,3155.330436
-270.645334,96,3173.272713
-282.861844,96,3190.317497
-76.468412,96,3209.137406
-22.128007,96,3227.496579
-8.088057,96,3244.163913
-745.934898,96,3262.071992
-36.33023,96,3278.61161
-1161.244269,96,3295.787277
-340.161418,96,3312.693562
-770.258652,96,3330.522979
-57.322755,96,3347.762982
-22.256957,96,3364.30542
-487.81024,96,3383.798291
-8.314498,96,3403.592229
-235.1854,96,3423.069302
-185.743972,96,3441.545913
-7.952749,96,3458.039695
-93.382175,96,3474.951785
-791.021255,96,3492.85871
-211.897521,96,3511.938484
-52.005023,96,3533.769029
-39.825859,96,3557.58966
-38.216951,96,3575.381052
-383.757217,96,3592.435841
-136.362673,96,3609.677833
-2.163128,96,3627.194339
-491.77982,96,3644.104679
-558.668661,96,3660.894267
-154.121276,96,3679.116337
-1019.175685,96,3695.704962
-122.725524,96,3714.956308
-291.606646,96,3731.395837
-50.415281,96,3749.376163
-148.772174,96,3764.388103
-550.114304,96,3780.176355
-431.67032,96,3795.735609
-392.972899,96,3811.9654
-173.446175,96,3827.811772
-554.628795,96,3843.425828
-392.523734,96,3859.546325
-134.805095,96,3875.378035
-386.032253,96,3891.446342
-493.655621,96,3906.214446
-345.090124,96,3921.950006
-173.76374,96,3937.529691
-1069.802607,96,3954.067962
-70.000281,96,3969.76596
-469.160058,96,3985.834694
-418.205885,96,4000.571439
-702.684792,96,4015.781893
-468.692007,96,4030.858927
-21.197289,96,4048.448179
-366.830946,96,4064.8158
-367.916708,96,4082.119699
-427.940777,96,4098.365027
-385.261567,96,4113.790461
-424.575901,96,4129.404154
-160.735338,96,4148.244109
-623.332208,96,4164.235563
-958.556198,96,4180.399981
-61.259037,96,4195.966669
-71.786381,96,4212.032954
-137.947154,96,4228.446927
-656.565937,96,4244.97685
-127.054469,96,4260.752078
-1043.586507,96,4276.481417
-106.860653,96,4292.412103
-159.47367,96,4308.241599
-398.173513,96,4325.004954
-560.902979,96,4340.289655
-102.816404,96,4356.741201
-370.495544,96,4372.303009
-1463.72001,96,4388.891761
-1125.681566,96,4404.192044
-792.29556,96,4421.687819
-68.076248,96,4437.938634
-200.462918,96,4453.645883
-576.422923,96,4469.963505
-69.249436,96,4485.531872
-295.023998,96,4501.758241
-298.249012,96,4517.014856
-1071.356696,96,4533.091896
-127.889632,96,4548.724357
-22.092587,96,4564.807725
-165.103288,96,4579.972779
-488.882018,96,4595.860499
-247.751838,96,4611.561656
-1183.657022,96,4627.582179
-304.530097,96,4642.864596
-1239.812808,96,4658.582957
-1423.408724,96,4673.689168
-60.335796,96,4689.427592
-255.716263,96,4707.426877
-834.195043,96,4726.576254
-261.150102,96,4744.331568
-259.42454,96,4761.166387
-183.966206,96,4777.473622
-605.861917,96,4792.693458
-228.42351,96,4808.240718
-317.678132,96,4823.26063
-666.416077,96,4839.374042
-85.580823,96,4856.307028
-144.889651,96,4872.034633
-402.683899,96,4888.066375
-104.660144,96,4903.221691
-1062.801726,96,4920.176231
-505.666273,96,4935.682709
-359.277729,96,4952.228472
-11.643152,96,4967.494362
-418.495382,96,4983.150862
-287.307112,96,4998.700459
-211.222512,96,5015.07889
-862.728889,96,5030.850805
-448.303996,96,5047.429858
-684.098547,96,5061.970715
-92.611642,96,5077.109604
-574.716169,96,5091.574707
-147.516457,96,5106.124004
-107.621751,96,5120.484481
-62.183843,96,5135.938224
-1190.706032,96,5150.564003
-5.712759,96,5165.467271
-207.335839,96,5179.926392
-121.223379,96,5194.539687
-936.906939,96,5209.14595
-696.491867,96,5223.889425
-696.306498,96,5238.228492
-12.201952,96,5252.633998
-292.39631,96,5267.55577
-1122.727834,96,5282.08555
-208.387919,96,5296.515014
-117.623788,96,5311.786375
-898.174156,96,5327.264289
-479.30011,96,5342.032811
-1170.086041,96,5356.56898
-74.465533,96,5373.138146
-1064.593992,96,5389.69388
-825.561386,96,5406.442889
-301.952653,96,5422.462432
-1187.94814,96,5437.632394
-446.960017,96,5452.012914
-352.575735,96,5466.470585
-475.256675,96,5481.507762
-318.206456,96,5496.224747
-1289.819762,96,5510.92294
-996.724478,96,5526.165536
-1059.070212,96,5540.538708
-550.368696,96,5557.103899
-436.446338,96,5571.445609
-425.151414,96,5585.440303
-164.735406,96,5599.614583
-643.919107,96,5614.524301
-1249.291827,96,5629.292657
-26.539771,96,5643.480716
-640.254829,96,5658.184499
-1040.343812,96,5672.68351
-16.214212,96,5687.62879
-1376.730851,96,5702.173568
-172.447483,96,5716.617555
-689.975145,96,5731.551757
-637.161715,96,5746.506661
-369.930424,96,5761.871091
-413.810038,96,5776.515537
-946.32924,96,5791.436101
0.0,96,5806.341276
-1442.023944,96,5821.189071
-751.277157,96,5835.641008
-23.911815,96,5850.374875
-471.830413,96,5864.932132
-493.836905,96,5879.78081
-60.821614,96,5894.359689
-316.131145,96,5908.938515
-64.021353,96,5924.454682
-377.87953,96,5938.969413
-932.924897,96,5953.364697
-271.827725,96,5967.661305
-234.593266,96,5982.125927
-633.471628,96,5996.228673
-77.423452,96,6010.65932
-289.205304,96,6025.835371
-647.476621,96,6045.192522
-262.843171,96,6062.177915
-1233.255563,96,6077.947291
-300.810011,96,6093.311444
-289.298112,96,6108.104983
-372.941489,96,6123.681588
-208.375996,96,6138.046077
-460.020987,96,6152.943444
-9.795138,96,6168.456735
-197.086766,96,6182.903447
-32.409883,96,6197.651389
-325.021995,96,6212.422461
-58.203172,96,6227.713703
-830.267279,96,6242.078953
-97.773458,96,6256.891289
-434.040026,96,6271.224113
-199.714715,96,6286.103412
-831.926442,96,6300.581511
-729.932917,96,6315.146875
-207.336084,96,6330.082319
-45.215795,96,6345.221855
-588.605635,96,6359.91298
-123.562822,96,6374.665402
-461.197143,96,6389.084389
-314.707104,96,6403.764246
-31.416599,96,6418.271974
-765.627341,96,6433.494947
-192.409259,96,6447.926655
-104.754056,96,6462.661503
-654.46528,96,6476.974007
-1063.489504,96,6491.25528
-1349.147058,96,6506.111073
-573.165236,96,6522.291106
-473.931619,96,6536.783387
-96.90751,96,6551.129363
-527.938265,96,6565.900816
-287.683892,96,6580.747277
-1255.099749,96,6595.089305
-404.8583,96,6609.574575
-349.6553,96,6624.383235
-221.78749,96,6639.175753
-142.445277,96,6654.234743
-97.853567,96,6669.088868
-392.22014,96,6684.140054
-1245.553484,96,6701.586947
-294.367631,96,6718.734361
-1101.564118,96,6735.467241
-494.455249,96,6751.076663
-109.102163,96,6766.031209
-396.431734,96,6781.626104
0.0,96,6796.097698
-283.848745,96,6810.84498
-807.178593,96,6825.787658
-59.081684,96,6840.408806
-713.138537,96,6855.003775
-391.459004,96,6872.090583
-771.943979,96,6892.326147
-1191.051071,96,6907.343589
-510.191393,96,6921.987673
-363.860821,96,6937.963283
-1156.378188,96,6953.379628
-317.443675,96,6968.544886
-114.955817,96,6984.101043
-654.290242,96,7000.161415
-1154.839884,96,7015.809888
-56.834864,96,7032.159425
-289.944968,96,7047.052011
-30.750323,96,7062.273983
-156.918687,96,7077.460754
-204.222085,96,7092.995703
-436.61276,96,7107.71843
-816.497317,96,7124.014692
-332.893532,96,7139.316085
-28.673155,96,7155.200224
-293.376749,96,7169.857076
-1.850304,96,7184.951852
-404.300835,96,7199.689347
-183.726169,96,7214.879283
-349.88723,96,7229.732733
-1304.421142,96,7245.720737
-239.254542,96,7260.644902
-372.62648,96,7276.027462
-64.694352,96,7290.891434
-353.05829,96,7306.399723
-209.843214,96,7322.682679
-11.69117,96,7337.841892
-94.71462,96,7354.98209
-306.525287,96,7372.100664
-324.710091,96,7388.355373
-271.009523,96,7404.618973
-748.173617,96,7419.12768
-217.019919,96,7434.301502
-1419.029725,96,7448.776098
-326.722921,96,7463.381894
-721.202228,96,7477.741813
-887.743287,96,7492.922149
-48.630162,96,7507.63757
-1030.042738,96,7522.222055
-320.902304,96,7537.121497
-100.281119,96,7552.554252
-302.823182,96,7567.34059
-317.147371,96,7582.200713
-368.741051,96,7597.199778
-318.008063,96,7612.439919
-559.089758,96,7627.203728
-176.498057,96,7642.168875
-201.926169,96,7656.908024
-304.031848,96,7671.720415
-990.328729,96,7686.57367
-125.009108,96,7701.022408
-347.561867,96,7717.505964
-680.676025,96,7732.413976
-43.045224,96,7747.283094
-1097.344236,96,7762.331271
-1.804593,96,7777.31671
-81.658843,96,7792.832968
-160.849359,96,7807.534744
-1219.283737,96,7822.432038
-653.909829,96,7837.778243
-488.132482,96,7853.925337
-374.866141,96,7869.414294
-100.869902,96,7883.690786
-938.223947,96,7898.133471
-1377.360922,96,7912.739712
-402.510182,96,7928.555142
-263.319821,96,7942.940691
-1238.964684,96,7957.622012
-476.462277,96,7972.361506
-565.100566,96,7986.878654
-0.132445,96,8001.313624
-143.242486,96,8020.007402
-1204.979647,96,8036.612943
-13.095646,96,8053.33794
-940.783786,96,8068.684553
-1026.945408,96,8083.302938
-803.619256,96,8098.28064
-110.057597,96,8112.64398
-377.575385,96,8127.062274
-485.63341,96,8142.311196
-191.9755,96,8157.131526
-396.449101,96,8171.833727
-273.526677,96,8186.248929
-1155.030132,96,8201.067018
-179.708954,96,8216.025969
-261.175103,96,8230.388073
-480.017987,96,8244.486322
-540.202291,96,8258.904489
-270.079183,96,8274.203626
-629.791865,96,8288.96827
-362.542136,96,8303.83654
-167.181188,96,8318.730564
-1507.361173,96,8333.805758
-277.305571,96,8348.691253
-104.086261,96,8363.4482
-1406.189429,96,8377.643396
-390.658135,96,8392.235924
-412.730822,96,8407.44649
-139.62994,96,8422.362053
-98.822628,96,8437.391842
-812.871628,96,8452.2787
-289.949021,96,8467.442549
-325.653272,96,8482.552262
-484.862644,96,8497.522826
-62.183363,96,8512.32137
-177.452727,96,8528.520824
-320.004433,96,8543.669565
-53.568209,96,8559.805814
-320.627727,96,8575.209724
-243.136605,96,8590.348001
-236.113553,96,8605.443706
-181.525013,96,8620.304189
-112.504266,96,8635.515052
-206.924056,96,8650.593027
-69.530592,96,8665.378925
-372.632114,96,8682.662838
-24.13709,96,8699.558671
-261.428739,96,8716.651656
-204.688082,96,8732.819826
-210.205405,96,8747.332368
-687.963989,96,8762.131122
-319.799999,96,8776.907717
-1256.595567,96,8791.506084
-673.42974,96,8805.7738
-1020.364645,96,8820.732704
-75.605903,96,8835.750537
-912.799973,96,8850.394197
-667.01234,96,8864.995219
-154.93253,96,8880.441813
-505.002163,96,8895.144737
-12.882484,96,8910.275726
-452.064855,96,8925.677565
-0.630811,96,8940.758498
-940.179957,96,8956.605852
-646.424333,96,8971.658695
-0.114636,96,8986.537853
-172.627551,96,9002.127968
-14.577549,96,9018.277301
-4.330236,96,9033.969245
-724.283743,96,9049.441948
-353.228092,96,9064.591134
