steps,input_info/rewards
17484,-62.5428352355957
17514,-72.57324981689453
17531,-65.28129577636719
17534,-73.36012268066406
17543,-70.60602569580078
17753,-62.692962646484375
17768,-64.80409240722656
17839,-68.48236846923828
17843,-72.18303680419922
17938,-67.45024871826172
17957,-71.41963195800781
18009,-64.66728210449219
18071,-66.5301513671875
18267,-68.16046142578125
18301,-69.21697235107422
18326,-68.16270446777344
18350,-65.71321868896484
18495,-66.01969146728516
18503,-62.85198211669922
18522,-60.79285430908203
18539,-65.79854583740234
18542,-64.76910400390625
18547,-67.1762924194336
18578,-69.1276626586914
18639,-61.486595153808594
18643,-62.040374755859375
18779,-61.898624420166016
18789,-60.09485626220703
18870,-69.08270263671875
18886,-63.2712287902832
18938,-66.01675415039062
19176,-62.964820861816406
19336,-55.39010238647461
19342,-61.516815185546875
19384,-62.00211715698242
19415,-58.092018127441406
19495,-62.079345703125
19567,-59.05991744995117
19734,-54.80339813232422
19759,-60.434913635253906
19989,-67.31480407714844
20050,-65.03250122070312
20058,-61.33728790283203
20112,-56.27141571044922
20197,-63.13179016113281
20206,-70.06573486328125
20232,-63.40950393676758
20234,-61.06614303588867
20342,-59.141300201416016
20424,-58.0930061340332
20438,-62.76465606689453
20546,-64.13262939453125
20629,-61.997989654541016
20692,-55.337703704833984
20694,-59.147003173828125
20705,-63.7646484375
20715,-63.41980743408203
20735,-66.19581604003906
20791,-62.721004486083984
20800,-54.97141647338867
20831,-63.6890983581543
20838,-62.17430877685547
20894,-59.24428176879883
20949,-58.84081268310547
21017,-54.26411437988281
21171,-61.82014846801758
21289,-62.288028717041016
21325,-68.37202453613281
21336,-62.27604293823242
21375,-63.275245666503906
21681,-58.03125
21763,-64.8600845336914
21781,-59.205265045166016
21952,-62.98771286010742
22036,-59.32658004760742
22219,-60.4990119934082
22238,-62.11250305175781
22270,-59.96222686767578
22340,-63.9304084777832
22348,-69.16958618164062
22354,-68.70818328857422
22357,-63.165138244628906
22405,-58.179473876953125
22409,-64.96353912353516
22419,-58.881370544433594
22425,-65.96290588378906
22587,-57.69646453857422
22588,-59.339298248291016
22649,-62.2276611328125
22653,-55.91645812988281
22673,-66.39448547363281
22775,-61.14101028442383
22847,-62.56194305419922
22900,-59.12470245361328
23020,-58.22612762451172
23046,-59.853816986083984
23179,-54.722381591796875
23195,-54.542701721191406
23205,-57.2717170715332
23225,-58.11554718017578
23243,-58.351131439208984
23291,-62.61054992675781
23323,-62.18784713745117
23326,-61.404441833496094
23333,-60.56870651245117
23343,-59.335227966308594
23415,-62.347801208496094
23455,-61.5222053527832
23509,-57.387542724609375
23600,-67.85335540771484
23608,-53.93889617919922
23641,-56.3497200012207
23669,-63.11613082885742
23694,-59.87194061279297
23788,-61.88594436645508
23898,-57.24657440185547
23909,-57.45689010620117
23989,-63.339168548583984
24023,-53.624568939208984
24098,-56.66328430175781
24151,-54.16945266723633
24166,-59.59684371948242
24202,-59.72832489013672
24399,-54.70979309082031
24476,-64.50044250488281
24551,-56.4714241027832
24595,-56.40856170654297
24601,-59.464534759521484
24678,-59.69050598144531
24828,-55.463191986083984
24836,-53.540462493896484
24897,-55.1928596496582
25002,-56.859771728515625
25030,-58.31672668457031
25156,-57.3421630859375
25186,-61.820709228515625
25192,-57.523414611816406
25287,-58.067047119140625
25337,-69.54766082763672
25474,-60.35770797729492
25522,-62.24311828613281
25550,-62.217552185058594
25700,-55.6990852355957
25754,-65.30807495117188
25855,-58.434627532958984
25888,-55.874046325683594
25902,-62.84236526489258
25920,-62.44942855834961
25959,-57.99059295654297
25963,-57.19636535644531
25977,-58.02550506591797
25990,-61.10492706298828
26029,-57.38455581665039
26060,-57.699981689453125
26064,-54.4912223815918
26146,-56.5290641784668
26183,-57.322776794433594
26193,-50.67470169067383
26250,-50.594261169433594
26261,-57.067626953125
26304,-59.117340087890625
26329,-49.62581253051758
26350,-58.394962310791016
26400,-55.33342742919922
26488,-58.228614807128906
26552,-60.7564582824707
26579,-58.540794372558594
26581,-58.18882369995117
26682,-53.81498718261719
26704,-55.303245544433594
26754,-54.08743667602539
26784,-54.80986022949219
26928,-52.264617919921875
27047,-52.863346099853516
27058,-56.57245635986328
27106,-56.651832580566406
27420,-52.003604888916016
27647,-51.34313201904297
27668,-50.60839080810547
27729,-54.03606414794922
27750,-52.70577621459961
27808,-58.24544906616211
27840,-49.77107620239258
27884,-51.844783782958984
28033,-55.34020233154297
28084,-50.93186569213867
28171,-53.6005973815918
28261,-54.14597702026367
28311,-54.64425277709961
28366,-55.950286865234375
28420,-51.54154586791992
28553,-52.167991638183594
28593,-49.48766326904297
28646,-56.33790969848633
28691,-57.75418472290039
28767,-54.562232971191406
28824,-48.01057815551758
28861,-50.429107666015625
28884,-46.0209846496582
28910,-54.19200897216797
28928,-47.08728790283203
28936,-51.624847412109375
29016,-54.270687103271484
29022,-54.671485900878906
