steps,loss/td_error
12783,9.772923469543457
12845,-15.5589599609375
12862,-70.16358947753906
12902,-11.706138610839844
12995,-9.112687110900879
13016,-13.410563468933105
13025,7.111001968383789
13178,-10.107749938964844
13190,-11.21994400024414
13225,-9.394139289855957
13266,9.269439697265625
13312,-53.53773880004883
13384,-7.417330265045166
13575,14.006475448608398
13796,-6.759901523590088
13969,-4.458199501037598
14084,-46.71097946166992
14087,1.6181520223617554
14132,4.12185525894165
14321,4.679709434509277
14490,-25.555030822753906
14582,2.8718955516815186
14633,-70.40990447998047
14639,-48.08112335205078
14729,-67.1347885131836
14867,-8.287322998046875
14929,-55.39629364013672
14947,-10.856412887573242
15106,0.5158295631408691
15124,18.720237731933594
15169,-9.92262077331543
15220,1.0009946823120117
15240,-8.356637001037598
15274,2.576845407485962
15329,5.140317916870117
15381,-9.038573265075684
15462,5.838129043579102
15515,-9.128868103027344
15533,-34.875797271728516
15637,7.816431045532227
15654,6.673305511474609
15714,-10.094789505004883
15719,-5.550039768218994
15856,-16.718135833740234
15917,-16.211862564086914
15925,-11.02971363067627
16121,-22.597457885742188
16183,-12.848271369934082
16184,-50.25927734375
16197,0.5415498614311218
16315,-24.812273025512695
16530,0.22220465540885925
16559,-8.004170417785645
16569,-6.515462398529053
16581,-9.552644729614258
16584,-12.378243446350098
16597,-35.79072570800781
16622,-4.224649906158447
16760,-43.250221252441406
16764,7.426112651824951
16873,-17.20064353942871
16875,-7.252272129058838
16878,-9.129035949707031
16890,-5.602237224578857
17160,-19.6492862701416
17382,-23.909950256347656
17432,-1.2988132238388062
17443,-23.03925323486328
17452,-7.863522529602051
17473,-1.9621574878692627
17484,1.0764790773391724
17514,-11.512314796447754
17531,-13.715538024902344
17534,-6.349546909332275
17543,-9.83082389831543
17753,3.9750242233276367
17768,-7.999178409576416
17839,-21.523536682128906
17843,16.322662353515625
17938,-12.084702491760254
17957,-5.546335220336914
18009,-6.014837265014648
18071,-5.695637226104736
18267,-5.411839008331299
18301,-16.286495208740234
18326,-4.886551856994629
18350,-14.001961708068848
18495,4.804873466491699
18503,-0.23594720661640167
18522,-25.354393005371094
18539,3.0614542961120605
18542,-7.219712257385254
18547,4.417858123779297
18578,-11.110105514526367
18639,-51.75321578979492
18643,-14.262462615966797
18779,-13.992836952209473
18789,-80.27896118164062
18870,-3.5584473609924316
18886,-4.372577667236328
18938,-13.300994873046875
19176,2.9044604301452637
19336,-8.078283309936523
19342,2.3692121505737305
19384,-36.64780044555664
19415,-5.880590438842773
19495,0.506720781326294
19567,-13.477177619934082
19734,-27.982959747314453
19759,3.8884665966033936
19989,-11.177781105041504
20050,9.386495590209961
20058,-36.84735870361328
20112,-17.30742835998535
20197,-11.87816333770752
20206,-8.591014862060547
20232,-8.403948783874512
20234,-19.38927459716797
20342,-9.205411911010742
20424,-11.290239334106445
20438,6.3870530128479
20546,9.13769245147705
20629,-10.566276550292969
20692,-12.501092910766602
20694,-2.3688740730285645
20705,-30.760799407958984
20715,-13.489527702331543
20735,-11.52546215057373
20791,-19.97524070739746
20800,-12.252197265625
20831,16.97088050842285
20838,-44.82783889770508
20894,-26.994094848632812
20949,-25.542163848876953
21017,1.4554325342178345
21171,-9.337160110473633
21289,0.09704916924238205
21325,-14.918025016784668
21336,-0.08040473610162735
21375,-11.206489562988281
21681,-15.851177215576172
21763,-3.437849521636963
21781,-13.724113464355469
21952,-15.24535846710205
22036,4.392800807952881
22219,-11.643383979797363
22238,-24.17494773864746
22270,-17.324310302734375
22340,-24.18549919128418
22348,-43.14189910888672
22354,-28.663251876831055
22357,-2.7995548248291016
22405,4.022557735443115
22409,-8.749110221862793
22419,0.05337924137711525
22425,-29.559215545654297
22587,7.041469097137451
22588,-0.647799015045166
22649,-9.956104278564453
22653,-15.310766220092773
22673,-23.715835571289062
22775,-6.265450477600098
22847,10.280817031860352
22900,-24.628915786743164
23020,-15.033599853515625
23046,-23.034929275512695
23179,-1.2433041334152222
23195,7.207795143127441
23205,-4.686586856842041
23225,6.261803150177002
23243,2.1100709438323975
23291,-0.1601802259683609
23323,-12.9472017288208
23326,-9.122566223144531
23333,-82.48269653320312
23343,-54.38455581665039
23415,-35.23207473754883
23455,-5.413749694824219
23509,-9.475006103515625
23600,-17.709217071533203
23608,-2.5060207843780518
23641,-37.32990264892578
23669,-23.491134643554688
23694,-54.84297180175781
23788,-9.169195175170898
23898,-16.898488998413086
23909,-13.400236129760742
23989,5.832481384277344
24023,11.619175910949707
24098,-2.506293773651123
24151,-4.1336798667907715
24166,-12.721197128295898
24202,6.390110492706299
24399,-39.97184371948242
24476,-13.752116203308105
24551,-10.075739860534668
24595,-25.147018432617188
24601,-37.23374557495117
24678,5.6808390617370605
24828,-10.59752368927002
24836,-23.055164337158203
24897,-31.510799407958984
25002,-18.191709518432617
25030,10.178837776184082
25156,-2.146674633026123
25186,-23.415931701660156
25192,-6.269927978515625
25287,-4.370626449584961
25337,-2.3577053546905518
25474,11.311681747436523
25522,-23.03373146057129
25550,-3.880707263946533
25700,-46.16913986206055
25754,-30.43330955505371
25855,-25.34065818786621
25888,-22.476070404052734
25902,-8.059819221496582
25920,14.187864303588867
25959,6.076966285705566
25963,-12.358991622924805
25977,-4.304285049438477
25990,-12.143682479858398
26029,-22.943645477294922
26060,-9.22016429901123
26064,10.283675193786621
26146,-25.102975845336914
26183,-19.246639251708984
26193,2.985724925994873
26250,-44.64091873168945
26261,-22.231082916259766
26304,-44.714168548583984
26329,-19.827468872070312
26350,-46.34318161010742
26400,-54.25530242919922
26488,-28.770536422729492
26552,-4.5205793380737305
26579,-11.31960391998291
26581,2.085477113723755
26682,-51.19861602783203
26704,-36.09846496582031
26754,-48.242591857910156
26784,-19.322708129882812
26928,-21.709741592407227
27047,-34.50966262817383
27058,-31.370100021362305
27106,-17.32815933227539
27420,-12.428264617919922
27647,0.8689313530921936
27668,-4.807163238525391
27729,-8.360883712768555
27750,-18.913000106811523
27808,-7.067714214324951
27840,-17.578125
27884,-23.577404022216797
28033,-5.406194686889648
28084,3.565397024154663
28171,1.3190734386444092
28261,-14.68457317352295
28311,-8.517158508300781
28366,-7.3602986335754395
28420,-27.77228355407715
28553,1.3581876754760742
28593,-20.597007751464844
28646,-51.82094192504883
28691,-49.607025146484375
28767,-20.204923629760742
28824,-31.17189598083496
28861,-11.230240821838379
28884,-6.518256664276123
28910,1.6992343664169312
28928,1.9201812744140625
28936,-1.6353908777236938
29016,-3.740446090698242
29022,4.531205177307129
29079,8.691282272338867
29093,0.6790916919708252
29173,-40.79728317260742
29185,-24.66591453552246
29242,-4.316527366638184
29286,-47.10426330566406
29530,1.7723232507705688
29617,-13.845720291137695
29637,-20.98861312866211
29722,13.938762664794922
29791,-4.628499507904053
29808,0.27895817160606384
30080,-61.48889923095703
30090,-18.77991485595703
30200,-0.7717981934547424
30209,7.384169101715088
30420,-18.072383880615234
30455,-26.766159057617188
30473,-4.563057899475098
30524,2.874525785446167
30583,5.756072044372559
30628,-21.047449111938477
30764,-23.92665672302246
30773,-12.50739574432373
30824,-9.380000114440918
30839,-21.73978042602539
30942,-6.776174068450928
