steps,episode_reward
672,-4786.0634765625
1344,-42535.31640625
2016,-189750.453125
2688,-43796.5
3360,-3134.909912109375
4032,-47097.08984375
4704,-22485.3984375
5376,-641.4937744140625
6048,-128350.578125
6720,-15322.1064453125
7392,-10800.5009765625
8064,-125454.71875
8736,-21388.263671875
9408,-22550.72265625
10080,-49902.4140625
10752,-18436.34765625
11424,-70744.2421875
12096,-11245.30859375
12768,-75701.453125
13440,-14890.97265625
14112,-4218.126953125
14784,-510.8807678222656
15456,-22369.31640625
16128,-9456.01953125
16800,-10880.4697265625
17472,-18739.53125
18144,-5275.02099609375
18816,-1152.4521484375
19488,-4076.76318359375
20160,-28696.384765625
20832,-22844.43359375
21504,-5609.9072265625
22176,-37254.79296875
22848,-870.0140380859375
23520,-46624.8359375
24192,-9322.0087890625
24864,-18920.37890625
25536,-7214.982421875
26208,-7263.01806640625
26880,-4442.52587890625
27552,-8333.861328125
28224,-795.2593994140625
28896,-1272.603271484375
29568,-1708.04296875
30240,-2543.74951171875
30912,-50096.99609375
31584,-5591.896484375
32256,-419.0273132324219
32928,-2146.810546875
33600,-1001.0418090820312
34272,-932.4337768554688
34944,-15568.54296875
35616,-845.5296020507812
36288,-43108.140625
36960,-486.4528503417969
37632,-18259.21875
38304,-392.8560791015625
38976,-331.1571044921875
39648,-17367.822265625
40320,-156530.171875
40992,-4262.9697265625
41664,-697.741943359375
42336,-24989.263671875
43008,-27070.18359375
43680,-31835.19921875
44352,-2729.326171875
45024,-1999.84033203125
45696,-1388.6409912109375
46368,-64934.35546875
47040,-2645.59375
47712,-1643.217041015625
48384,-3754.2236328125
49056,-2229.055419921875
49728,-814.0873413085938
50400,-2230.182861328125
51072,-119.65388488769531
51744,-117.70086669921875
52416,-1439.341796875
53088,-620.0664672851562
53760,-109.30155944824219
54432,-61.85460662841797
55104,-5146.81787109375
55776,-120.66818237304688
56448,-692.0606079101562
57120,-1911.762451171875
57792,-200.966064453125
58464,-52970.3671875
59136,-336.6171569824219
59808,-43610.23046875
60480,-5018.94775390625
61152,-200.33700561523438
61824,-699.2052001953125
62496,-1391.091552734375
63168,-623.0769653320312
63840,-205.68414306640625
64512,-397.1484375
65184,-338.10516357421875
65856,-14800.0048828125
66528,-966.3527221679688
67200,-392.24090576171875
67872,-978.8327026367188
68544,-533.882568359375
69216,-105493.8984375
69888,-1158.1385498046875
70560,-1601.9749755859375
71232,-1072.1041259765625
71904,-120.36732482910156
72576,-163.2110137939453
73248,-95.24067687988281
73920,-280.20623779296875
74592,-438.3067321777344
75264,-72.6514663696289
75936,-144.17274475097656
76608,-21757.931640625
77280,-205.1973876953125
77952,-8080.7080078125
78624,-2224.729736328125
79296,-990.9288940429688
79968,-2696.97412109375
80640,-1252.4609375
81312,-31609.404296875
81984,-41814.91796875
82656,-2181.03125
83328,-33534.4609375
84000,-33156.125
84672,-17929.666015625
85344,-12587.5302734375
86016,-23392.7734375
86688,-5790.64501953125
87360,-11046.8134765625
88032,-1484.4937744140625
88704,-1194.0765380859375
89376,-2468.045654296875
90048,-25117.796875
90720,-17121.607421875
91392,-34664.03515625
92064,-758.1654052734375
92736,-5945.8564453125
93408,-10113.0595703125
94080,-1394.71923828125
94752,-4524.37451171875
95424,-6626.7431640625
96096,-1882.534423828125
96768,-80.48944854736328
97440,-608.6675415039062
98112,-1228.39794921875
98784,-2302.593017578125
99456,-545.2373657226562
100128,-1754.6759033203125
100800,-630.4777221679688
101472,-6845.49169921875
102144,-311.961181640625
102816,-301.07733154296875
103488,-878.5068969726562
104160,-28764.337890625
104832,-3839.168212890625
105504,-25289.677734375
106176,-150.178955078125
106848,-326.5128479003906
107520,-765.1611938476562
108192,-510.5333557128906
108864,-139.3121795654297
109536,-338.70343017578125
110208,-7423.11279296875
110880,-19653.333984375
111552,-2079.459716796875
112224,-412.0282897949219
112896,-305.83221435546875
113568,-11031.6484375
114240,-11739.6171875
114912,-2407.772216796875
115584,-77.98046112060547
116256,-686.6249389648438
116928,-199.04922485351562
117600,-705.1827392578125
118272,-374.2840576171875
118944,-834.7538452148438
119616,-486.0590515136719
120288,-28273.373046875
120960,-3914.79150390625
121632,-308.55657958984375
122304,-541.375
122976,-33949.39453125
123648,-574.3504638671875
124320,-3341.63232421875
124992,-127.4896011352539
125664,-1326.2041015625
126336,-2222.2275390625
127008,-172.8657684326172
127680,-1645.600830078125
128352,-210.75094604492188
129024,-44924.6796875
129696,-2371.3447265625
130368,-783.0331420898438
131040,-2180.60791015625
131712,-62971.03125
132384,-449.3735046386719
133056,-3660.93505859375
133728,-27458.17578125
134400,-1510.9896240234375
135072,-1001.951904296875
135744,-2846.968505859375
136416,-28574.5703125
137088,-12483.35546875
137760,-14056.6943359375
138432,-1325.4881591796875
139104,-3518.101318359375
139776,-1909.6768798828125
140448,-1088.112548828125
141120,-608.2657470703125
141792,-76715.828125
142464,-853.4381103515625
143136,-7720.36767578125
143808,-744.3494873046875
144480,-64592.5625
145152,-2498.12109375
145824,-824.177734375
146496,-1945.3157958984375
147168,-578.5668334960938
147840,-740.3133544921875
148512,-2754.951171875
149184,-5890.4560546875
149856,-3664.796630859375
150528,-346.21282958984375
151200,-939.5960693359375
151872,-633.8739013671875
152544,-1415.0816650390625
153216,-3901.450927734375
153888,-2420.12109375
154560,-204.2657928466797
155232,-10902.384765625
155268,-21.941267013549805
155940,-93.69561004638672
156612,-96.2920150756836
157284,-1314.0997314453125
157956,-478.650390625
158628,-8991.3115234375
159300,-22343.201171875
159972,-653.10791015625
160644,-70.61919403076172
161316,-3576.0361328125
161988,-1741.2266845703125
