#{"t_start": 1610101613.6347306, "env_id": null}
r,l,t
-132.506368,96,20.403535
-782.497022,96,40.202531
-247.303299,96,60.114054
-305.506934,96,79.00913
-108.145829,96,97.404034
-193.010445,96,115.797035
-224.776079,96,137.619534
-696.413904,96,156.257048
-248.138359,96,174.441034
-1096.111913,96,192.10604
-136.336231,96,210.247525
-54.838374,96,228.734526
-723.244789,96,246.749524
-1488.908644,96,266.811024
-288.882051,96,289.29884
-634.460988,96,307.185252
-168.899803,96,326.90076
-5.539296,96,346.06825
-499.100068,96,367.592253
-428.861571,96,387.075531
-2753.474594,96,405.50677
-152.822432,96,423.55427
-2165.089243,96,442.08527
-24.194313,96,460.944268
-10.131633,96,479.88277
-258.005513,96,500.310771
-766.461226,96,521.983271
-19.648331,96,543.113266
-2680.294682,96,564.036271
-211.547295,96,585.916767
-60.016568,96,606.663267
-1053.350807,96,627.146267
-57.669045,96,647.947268
-630.986765,96,667.775267
-121.197927,96,689.113269
-1066.472637,96,712.281269
-459.124524,96,734.572271
-1146.230305,96,753.198771
-1429.65325,96,772.081276
-2969.644239,96,790.13877
-1463.830152,96,808.757272
-1083.516885,96,830.297271
-2012.025085,96,849.919768
-2076.157272,96,868.835267
-2306.66652,96,888.085769
-143.689816,96,908.11227
-532.493058,96,928.125272
-67.877102,96,945.584772
-1322.230108,96,963.308768
-594.714404,96,980.770273
-1580.328599,96,998.42327
-383.841632,96,1017.300433
-1400.115363,96,1034.696934
-3082.73335,96,1052.90843
-864.257069,96,1073.397433
-1853.133262,96,1099.385435
-513.665193,96,1120.531934
-534.662517,96,1140.292935
-161.649434,96,1161.298437
-4.258746,96,1181.520934
-230.88721,96,1200.329433
-2572.885656,96,1220.789938
-1034.187563,96,1240.006436
-2044.033873,96,1259.786932
-2399.332753,96,1277.998931
-538.077161,96,1297.848937
-1634.251046,96,1316.236459
-332.129091,96,1335.808457
-55.945549,96,1356.612458
-1882.013442,96,1375.49496
-1692.259602,96,1396.06046
-667.075884,96,1418.968962
-1007.823301,96,1440.788957
-1325.048212,96,1460.805966
-2443.983373,96,1480.801458
-151.839203,96,1503.980464
-332.625726,96,1524.878961
-146.912677,96,1546.42193
-1575.835492,96,1568.659424
-2952.932127,96,1591.692927
-760.99067,96,1615.167429
-1969.057254,96,1636.19743
-1565.318904,96,1658.62594
-349.877552,96,1685.701925
-136.772125,96,1706.310928
-1499.867008,96,1726.363424
-1208.719991,96,1747.000924
-705.232009,96,1768.156929
-1735.29862,96,1788.470107
-22.453361,96,1807.591603
-1061.976371,96,1827.619605
-962.472607,96,1849.474602
-1599.464381,96,1870.760102
-3151.768397,96,1889.584606
-1850.090177,96,1907.735104
-2035.382381,96,1929.425103
-698.491893,96,1949.586101
-635.226504,96,1973.552603
-1965.003278,96,1995.200023
-1262.02374,96,2017.254529
-2392.405879,96,2039.328527
-1839.863376,96,2058.161529
-2393.069414,96,2080.441837
-2126.680043,96,2101.908334
-2599.898174,96,2123.48083
-180.755239,96,2143.881331
-1149.406051,96,2165.062834
-1713.62308,96,2183.43083
-2340.571347,96,2202.352333
-1939.153024,96,2221.19333
-2006.314828,96,2242.841836
-836.861311,96,2264.062331
-307.081377,96,2283.501332
-2574.374763,96,2304.650332
-2814.856436,96,2324.161331
-441.65637,96,2345.749834
-1.865273,96,2366.563334
-492.485355,96,2386.66783
-2523.437821,96,2408.50133
-1152.42395,96,2431.577333
-1258.628635,96,2450.69383
-1407.748764,96,2468.541333
-18.908756,96,2486.771329
-585.826786,96,2505.854629
-9.932878,96,2526.867139
-133.387496,96,2549.289134
-564.138775,96,2569.611132
-1256.282629,96,2590.615326
-1026.549109,96,2610.373326
-2216.422309,96,2630.618326
-2642.279306,96,2649.010824
-1774.363937,96,2668.059829
-7.026169,96,2690.276826
-2062.300973,96,2708.920828
-261.689768,96,2727.602325
-214.60983,96,2745.855329
-2708.904315,96,2763.199326
-310.120473,96,2782.872826
-211.162014,96,2803.039842
-1530.566925,96,2821.642824
-2964.114038,96,2842.998326
-39.597845,96,2862.105309
-716.396197,96,2882.785296
-2075.84539,96,2902.391297
-2108.754171,96,2920.412795
-1711.568951,96,2943.709798
-371.901441,96,2963.23609
-4.047048,96,2981.981588
-1600.659436,96,3000.400093
-1107.495437,96,3019.08509
-509.296975,96,3036.462088
-141.010939,96,3054.265093
-1803.946724,96,3072.14059
-642.008506,96,3091.565768
-294.926769,96,3111.357772
-699.181595,96,3143.177768
-1341.041469,96,3166.879779
-2389.936086,96,3188.962769
-1114.79561,96,3215.34727
-2504.392024,96,3236.040774
-654.049119,96,3258.887772
-1165.808743,96,3278.756773
-180.434514,96,3300.894768
-245.173934,96,3321.509269
-2972.554116,96,3342.444777
-1024.738393,96,3362.299273
