#{"env_id": null, "t_start": 1610222234.2962148}
r,l,t
-3.286187,96,19.630883
-2.95118,96,38.817436
-12.797203,96,58.135793
-3.814751,96,77.268157
-3.093037,96,95.449197
-3.207679,96,113.142981
-3.075801,96,132.147891
-3.792544,96,150.421302
-4.147109,96,170.537992
-6.211834,96,190.917243
-10.379306,96,210.860242
-4.507979,96,230.36295
-1.757564,96,250.794168
-4.59064,96,269.786943
-2.035379,96,287.647891
-1.942619,96,305.999717
-4.563312,96,325.003293
-6.136072,96,343.810772
-2.346528,96,363.709354
-2.354969,96,382.421099
-18.294171,96,400.834662
-3.611423,96,418.908043
-13.283662,96,437.938311
-4.321714,96,457.440949
-6.19297,96,476.379093
-2.454328,96,494.398293
-1.377268,96,514.070043
-8.020252,96,532.953986
-13.652376,96,550.914376
-2.188579,96,568.750228
-3.1713,96,586.697899
-1.566524,96,605.588533
-3.63897,96,623.413731
-2.920243,96,641.220689
-3.288139,96,658.783544
-2.499859,96,678.0099
-2.870333,96,696.499579
-1.383435,96,714.237338
-0.875973,96,731.541904
-9.457256,96,749.521272
-2.614273,96,767.493521
-2.75261,96,784.567454
-2.745541,96,802.722528
-6.115491,96,819.712452
-3.972422,96,841.718483
-9.689995,96,864.173356
-4.90343,96,884.706164
-8.203543,96,901.96207
-0.899693,96,918.82826
-1.967973,96,936.028314
-1.69531,96,953.424688
-9.041372,96,971.662283
-2.268103,96,991.464213
-5.701,96,1009.699919
-1.876807,96,1027.346228
-0.669896,96,1044.821046
-4.597888,96,1062.660207
-7.99487,96,1080.506315
-13.406665,96,1098.892741
-10.06859,96,1117.613323
-10.207463,96,1135.317008
-4.616155,96,1152.354495
-0.973306,96,1171.359017
1.258846,96,1189.691481
-5.850662,96,1206.870937
-5.406091,96,1226.04865
-0.745015,96,1243.387215
-8.601906,96,1261.126042
-6.556932,96,1280.858675
-0.935785,96,1298.775675
-0.973717,96,1318.022771
-2.230227,96,1335.173832
-1.361832,96,1353.245858
-1.41451,96,1370.913772
-4.131294,96,1388.870754
-2.210382,96,1406.803886
-5.669114,96,1424.376956
-4.186633,96,1441.841524
-2.865585,96,1459.992946
-5.685805,96,1477.127608
-7.171866,96,1496.700159
